Source,location,lat,long
"Marret et al., 367",P1457,18.827,-103.986
"Marret et al., 366",P1458,18.805,-104.009
"Marret et al., 365",P1459,18.573,-103.737
"Marret et al., 364",P1460,18.539,-103.786
"Marret et al., 363",P1461,18.135,-102.975
"Marret et al., 362",P1462,18.089,-103.027
"Marret et al., 361",P1463,17.737,-102.481
"Marret et al., 360",P1464,17.789,-102.469
"Marret et al., 359",P1465,17.915,-102.419
"Marret et al., 358",P1466,17.896,-102.096
"Marret et al., 357",P1467,17.575,-101.541
"Marret et al., 356",P1468,17.521,-101.586
"Marret et al., 355",P1469,17.488,-101.606
"Marret et al., 354",P1470,17.409,-101.681
"Marret et al., 353",P1471,17.118,-100.785
"Marret et al., 352",P1472,17.138,-100.766
"Marret et al., 351",P1473,16.921,-100.1
"Marret et al., 350",P1474,16.814,-99.924
"Marret et al., 349",P1475,16.759,-99.966
"Marret et al., 348",P1476,16.648,-99.562
"Marret et al., 347",P1477,16.844,-99.9
"Marret et al., 346",P1478,16.155,-98.108
"Marret et al., 345",Z1480,74.26,-90.99
"Marret et al., 344",Z1481,71.27,-137.18
"Marret et al., 343",B1482,64.15,-51.431
"Marret et al., 342",B1483,68.864,-53.328
"Marret et al., 341",B1484,69.17,-51.395
"Marret et al., 340",B1485,63.565,-54.494
"Marret et al., 339",B1486,64.449,-52.783
"Marret et al., 338",B1487,68.082,-58.057
"Marret et al., 337",B1488,70.969,-61.301
"Marret et al., 336",B1489,69.03,-59.32
"Marret et al., 335",B1490,68.996,-59.772
"Marret et al., 334",B1491,70.996,-58.768
"Marret et al., 333",B1492,70.091,-52.893
"Marret et al., 332",B1493,61.464,-58.036
"Marret et al., 331",B1495,75.469,-70.635
"Marret et al., 330",B1496,77.288,-74.343
"Marret et al., 329",B1497,76.979,-71.891
"Marret et al., 328",B1498,76.329,-71.421
"Marret et al., 327",B1499,76.573,-73.955
"Marret et al., 326",B1500,75.579,-78.63
"Marret et al., 325",B1501,74.023,-77.116
"Marret et al., 324",B1502,74.092,-78.719
"Marret et al., 323",B1503,68.228,-57.618
"Marret et al., 322",B1504,70.462,-64.657
"Marret et al., 321",B1505,76.129,-72.358
"Marret et al., 320",B1506,76.033,-74.383
"Marret et al., 319",B1507,76,-73.167
"Marret et al., 318",B1508,75.8,-69.333
"Marret et al., 317",B1509,75.75,-68.467
"Marret et al., 316",B1510,75.392,-73.567
"Marret et al., 315",B1511,73.783,-74.133
"Marret et al., 314",B1512,73.95,-73.083
"Marret et al., 313",B1513,74.133,-72.133
"Marret et al., 312",B1514,74.783,-69.633
"Marret et al., 311",B1515,75.233,-68.083
"Marret et al., 310",B1516,75.65,-67
"Marret et al., 309",B1517,75.8,-66.55
"Marret et al., 308",B1518,75.447,-71.85
"Marret et al., 307",B1519,75.925,-71.05
"Marret et al., 306",B1520,75.467,-69.083
"Marret et al., 305",B1521,75.337,-69.917
"Marret et al., 304",B1522,75.203,-70.742
"Marret et al., 303",B1523,74.933,-72.333
"Marret et al., 302",B1524,74.85,-75.85
"Marret et al., 301",B1525,74.717,-73.783
"Marret et al., 300",B1526,74.617,-72
"Marret et al., 299",B1527,74.55,-71
"Marret et al., 298",B1528,74.433,-70.15
"Marret et al., 297",B1529,74.767,-67.75
"Marret et al., 296",B1531,73.688,-64.562
"Marret et al., 295",B1532,73.7,-66.998
"Marret et al., 294",B1533,72.202,-65.972
"Marret et al., 293",B1534,77,-74.083
"Marret et al., 292",B1535,76.667,-74.083
"Marret et al., 291",B1536,76.233,-70.5
"Marret et al., 290",B1537,76.158,-71.4
"Marret et al., 289",B1538,75.617,-70.083
"Marret et al., 288",B1539,75.55,-71
"Marret et al., 287",B1540,75.467,-71.867
"Marret et al., 286",B1541,75.283,-74.45
"Marret et al., 285",B1542,75.217,-75.3
"Marret et al., 284",B1543,75.008,-72.717
"Marret et al., 283",B1544,75.667,-71.4
"Marret et al., 282",B1545,68.4,-55.9
"Marret et al., 281",B1546,69.16,-51.53
"Marret et al., 280",B1547,69.22,-51.94
"Marret et al., 279",B1548,69.26,-52.42
"Marret et al., 278",B1549,68.34,-56.74
"Marret et al., 277",B1550,69.93,-63.06
"Marret et al., 276",A1551,77.622,8.989
"Marret et al., 275",A1552,75.982,8.323
"Marret et al., 274",A1553,75.995,11.002
"Marret et al., 273",A1554,77.995,4.124
"Marret et al., 272",A1555,78.167,6.546
"Marret et al., 271",A1556,78.136,8.507
"Marret et al., 270",A1558,75.931,6.827
"Marret et al., 269",A1559,76.806,11.994
"Marret et al., 268",A1560,77.996,5.973
"Marret et al., 267",A1561,76.002,12.891
"Marret et al., 266",A1562,77.353,11.165
"Marret et al., 265",A1563,75.989,13.645
"Marret et al., 264",A1564,77.627,9.935
"Marret et al., 263",A1565,75.996,4.326
"Marret et al., 262",P1567,46.97,156.98
"Marret et al., 261",P1568,49.61,160.38
"Marret et al., 260",P1569,51.86,163.16
"Marret et al., 259",P1570,52.7,164.92
"Marret et al., 258",P1571,51.9,166.49
"Marret et al., 257",P1572,51.27,167.7
"Marret et al., 256",O1575,52.74,179.85
"Marret et al., 255",O1576,53.11,178.9
"Marret et al., 254",O1577,54.05,179.09
"Marret et al., 253",O1578,54.98,177.96
"Marret et al., 252",O1579,59.51,-179.85
"Marret et al., 251",O1580,60.13,-179.44
"Marret et al., 250",O1581,57.65,-175.68
"Marret et al., 249",O1582,54.79,-170.33
"Marret et al., 248",O1583,54.57,-168.81
"Marret et al., 247",P1585,53,-157.19
"Marret et al., 246",P1590,49.68,-152.55
"Marret et al., 245",P1591,45.5,-158.5
"Marret et al., 244",P1593,40.89,-177.68
"Marret et al., 243",P1596,38.04,169.28
"Marret et al., 242",P1597,38.01,164.45
"Marret et al., 241",P1598,38,162.68
"Marret et al., 240",P1602,48.36,146.03
"Marret et al., 239",R1603,51.15,145.31
"Marret et al., 238",R1604,53.86,146.75
"Marret et al., 237",R1605,51.69,149.07
"Marret et al., 236",R1606,51.91,152.27
"Marret et al., 235",R1607,48.17,146.18
"Marret et al., 234",R1608,48.3,146.13
"Marret et al., 233",R1609,52.84,144.79
"Marret et al., 232",R1610,49.34,150.5
"Marret et al., 231",O1611,62.01,-175.05
"Marret et al., 230",O1612,62.39,-174.57
"Marret et al., 229",O1613,63.02,-173.46
"Marret et al., 228",R1614,54.4,145.14
"Marret et al., 227",R1615,54.39,145.92
"Marret et al., 226",R1616,45.44,144.11
"Marret et al., 225",R1617,47.98,146.16
"Marret et al., 224",R1618,48.61,146.12
"Marret et al., 223",R1619,54.47,141.97
"Marret et al., 222",R1620,54.9,141.97
"Marret et al., 221",R1621,54.88,142.87
"Marret et al., 220",R1622,54.88,145.27
"Marret et al., 219",R1623,53.44,146.09
"Marret et al., 218",R1624,53.22,146.25
"Marret et al., 217",R1625,51.99,154.04
"Marret et al., 216",R1626,52.02,153.58
"Marret et al., 215",R1627,50.45,154.77
"Marret et al., 214",R1628,50.23,154.29
"Marret et al., 213",R1629,49.36,152.9
"Marret et al., 212",R1630,47.96,151.88
"Marret et al., 211",R1631,47.66,149.77
"Marret et al., 210",R1632,45.55,144.31
"Marret et al., 209",R1633,53.83,144.24
"Marret et al., 208",R1634,54.5,144.21
"Marret et al., 207",Z1635,67.383,-165.392
"Marret et al., 206",Z1636,67.3,-166.083
"Marret et al., 205",Z1637,66.833,-166.567
"Marret et al., 204",Z1638,67.392,-167.333
"Marret et al., 203",Z1639,67.992,-166.975
"Marret et al., 202",Z1640,67.55,-168.008
"Marret et al., 201",Z1641,67.917,-167.6
"Marret et al., 200",Z1642,68.867,-168.25
"Marret et al., 199",Z1643,69.683,-170.25
"Marret et al., 198",Z1644,68.867,-170.817
"Marret et al., 197",O1645,60.383,-177.433
"Marret et al., 196",O1646,61.867,-172.583
"Marret et al., 195",O1647,62.668,-174.365
"Marret et al., 194",O1648,61.8,-175.433
"Marret et al., 193",Z1649,67.578,-169.148
"Marret et al., 192",O1650,60.138,-173.908
"Marret et al., 191",O1651,59.448,-171.9
"Marret et al., 190",O1652,57.575,-166.797
"Marret et al., 189",O1653,56.91,-165.14
"Marret et al., 188",O1654,55.6,-165.288
"Marret et al., 187",O1655,60.032,-175.145
"Marret et al., 186",O1656,58.707,-169.523
"Marret et al., 185",O1657,56.763,-167.742
"Marret et al., 184",O1658,57.453,-171.483
"Marret et al., 183",R1659,54.9767,144.7517
"Marret et al., 182",Z1660,74.617,160
"Marret et al., 181",Z1661,70.65,170
"Marret et al., 180",Z1662,71.117,177.5
"Marret et al., 179",P1663,56.95569,-136.42782
"Marret et al., 178",P1664,59.43988,-140.25412
"Marret et al., 177",P1665,60.66288,-147.70812
"Marret et al., 176",Z1666,67.467,-170.367
"Marret et al., 175",Z1667,67.583,-173.408
"Marret et al., 174",Z1668,69.417,-173.25
"Marret et al., 173",Z1669,69.892,-174.442
"Marret et al., 172",Z1670,69.8,-176.65
"Marret et al., 171",Z1671,69.75,179.8
"Marret et al., 170",Z1672,70.175,-179.567
"Marret et al., 169",Z1673,70.633,-179
"Marret et al., 168",Z1674,69.633,-171
"Marret et al., 167",Z1675,70.45,175
"Marret et al., 166",Z1676,70.917,175
"Marret et al., 165",Z1677,71.417,174.95
"Marret et al., 164",Z1678,71.167,170
"Marret et al., 163",Z1679,69.833,165.017
"Marret et al., 162",Z1680,71.75,155.033
"Marret et al., 161",O1681,62.008,-177
"Marret et al., 160",Z1682,69,-176
"Marret et al., 159",Z1683,68.033,-170
"Marret et al., 158",Z1684,68.033,-171
"Marret et al., 157",Z1685,68.483,-169.017
"Marret et al., 156",Z1686,68.017,-169.033
"Marret et al., 155",Z1687,68.033,-172.067
"Marret et al., 154",Z1688,70.767,-167.65
"Marret et al., 153",Z1689,70.75,-165.5
"Marret et al., 152",Z1690,70.733,-164.5
"Marret et al., 151",Z1691,70.717,-163.5
"Marret et al., 150",Z1692,71.25,-160.5
"Marret et al., 149",Z1693,69.8,-166.5
"Marret et al., 148",Z1694,69.783,-168.467
"Marret et al., 147",Z1695,69.25,-169.367
"Marret et al., 146",Z1696,69.267,-167.467
"Marret et al., 145",Z1697,68.733,-167.5
"Marret et al., 144",Z1698,67.217,-168.533
"Marret et al., 143",Z1699,67.09,-164.483
"Marret et al., 142",Z1700,72.9,-158.43
"Marret et al., 141",Z1701,72.7,-157.45
"Marret et al., 140",Z1702,74.49,-159.87
"Marret et al., 139",Z1703,77.25,-157.04
"Marret et al., 138",Z1705,80.49,7.77
"Marret et al., 137",P1706,56.9856,-135.47902
"Marret et al., 136",Z1707,71.25,-159.5
"Marret et al., 135",L1708,59.05,-63.87
"Marret et al., 134",L1709,59.09,-63.43
"Marret et al., 133",L1710,58.32,-63.54
"Marret et al., 132",L1711,58.48,-63.22
"Marret et al., 131",L1712,58.5,-62.69
"Marret et al., 130",L1713,57.47,-62.44
"Marret et al., 129",L1714,57.57,-62.06
"Marret et al., 128",L1715,57.57,-62.05
"Marret et al., 127",L1716,57.57,-61.94
"Marret et al., 126",L1717,57.61,-61.9
"Marret et al., 125",L1718,56.44,-61.99
"Marret et al., 124",L1719,56.42,-61.74
"Marret et al., 123",L1720,56.4,-61.22
"Marret et al., 122",X1721,27.6375,-92.1995
"Marret et al., 121",X1723,28.083,-89.4892
"Marret et al., 120",X1724,28.6267,-88.2248
"Marret et al., 119",X1725,29.0015,-87.119
"Marret et al., 118",X1726,28.8373,-88.6592
"Marret et al., 117",X1727,28.8377,-86.6592
"Marret et al., 116",X1728,23.878,-82.4433
"Marret et al., 115",X1729,27.321,-82.6136
"Marret et al., 114",X1730,27.2334,-82.6289
"Marret et al., 113",X1731,27.2002,-82.6668
"Marret et al., 112",X1732,27.1168,-82.9
"Marret et al., 111",X1734,27.3322,-82.5886
"Marret et al., 110",X1735,27.2918,-83.1503
"Marret et al., 109",X1736,27.3049,-82.6284
"Marret et al., 108",X1737,27.3049,-82.6
"Marret et al., 107",X1738,27.305,-82.6216
"Marret et al., 106",X1739,27.32,-82.6573
"Marret et al., 105",X1740,18.8584,-95.9111
"Marret et al., 104",X1741,18.847,-95.9225
"Marret et al., 103",X1742,18.8365,-95.9323
"Marret et al., 102",X1743,18.8153,-95.8588
"Marret et al., 101",X1744,18.7979,-95.8579
"Marret et al., 100",X1745,18.7248,-95.8222
"Marret et al., 99",X1746,18.6281,-91.8271
"Marret et al., 98",X1747,18.5904,-91.5617
"Marret et al., 97",X1748,18.7809,-91.47
"Marret et al., 96",X1749,18.973,-94.682
"Marret et al., 95",X1750,19.1647,-94.896
"Marret et al., 94",X1751,19.064,-94.8777
"Marret et al., 93",X1752,19.0048,-94.9267
"Marret et al., 92",X1753,19.1595,-94.992
"Marret et al., 91",X1754,19.0743,-94.9897
"Marret et al., 90",X1755,19.1603,-94.0688
"Marret et al., 89",F1769,-0.33,8.55
"Marret et al., 88",F1770,-0.33,8.47
"Marret et al., 87",F1774,-0.22,6.02
"Marret et al., 86",F1814,3.8,-2.85
"Marret et al., 85",C1949,43.63,-54.55
"Marret et al., 84",C1950,44.16,-54.27
"Marret et al., 83",C1951,44.72,-54.65
"Marret et al., 82",C1952,42.84,-49.23
"Marret et al., 81",C1953,42.97,-49.47
"Marret et al., 80",C1955,50.21,-45.69
"Marret et al., 79",C1956,49.99,-45.59
"Marret et al., 78",B1957,68.31,-63.8
"Marret et al., 77",B1958,71.69,-69.11
"Marret et al., 76",B1959,71.86,-70.95
"Marret et al., 75",B1960,69.52,-64.65
"Marret et al., 74",B1961,67.61,-61.97
"Marret et al., 73",B1962,67.47,-63.59
"Marret et al., 72",B1963,70.64,-66.25
"Marret et al., 71",B1964,70.7,-66.39
"Marret et al., 70",B1965,71.87,-70.87
"Marret et al., 69",B1966,71.92,-70.46
"Marret et al., 68",B1967,72.43,-72.77
"Marret et al., 67",B1968,72.81,-77.68
"Marret et al., 66",B1969,72.85,-77.44
"Marret et al., 65",B1970,72.82,-77.43
"Marret et al., 64",B1971,71.4,-70.15
"Marret et al., 63",B1972,71.92,-70.41
"Marret et al., 62",B1973,72.46,-72.91
"Marret et al., 61",B1974,70.21,-65.32
"Marret et al., 60",B1975,68.15,-63.67
"Marret et al., 59",B1976,67.78,-59.58
"Marret et al., 58",B1977,68.14,-57.27
"Marret et al., 57",B1978,68.4,-55.97
"Marret et al., 56",B1979,68.83,-54.44
"Marret et al., 55",B1980,68.82,-53.03
"Marret et al., 54",B1981,69.23,-52.3
"Marret et al., 53",B1982,69.33,-51.66
"Marret et al., 52",B1983,69,-51.74
"Marret et al., 51",B1984,69.25,-51.28
"Marret et al., 50",B1985,67.7,-58.05
"Marret et al., 49",B1986,66.17,-57.12
"Marret et al., 48",B1987,66.92,-56.83
"Marret et al., 47",B1988,70.82,-54.48
"Marret et al., 46",B1989,71.69,-58.96
"Marret et al., 45",B1990,71.91,-59.28
"Marret et al., 44",B1991,71.09,-57.57
"Marret et al., 43",B1992,71.18,-56.6
"Marret et al., 42",B1993,71,-56.48
"Marret et al., 41",B1994,70.42,-57.84
"Marret et al., 40",B1995,70.53,-57.77
"Marret et al., 39",B1996,69.75,-51.57
"Marret et al., 38",B1997,69.96,-51.71
"Marret et al., 37",B1998,70.59,-55.07
"Marret et al., 36",B1999,70.75,-54.88
"Marret et al., 35",L2000,61.27,-60.87
"Marret et al., 34",L2001,61.34,-61.12
"Marret et al., 33",L2002,63.44,-51.78
"Marret et al., 32",L2003,62.97,-51.61
"Marret et al., 31",L2004,62.97,-51.3
"Marret et al., 30",L2005,64.19,-54.17
"Marret et al., 29",L2006,65.21,-55.53
"Marret et al., 28",A2007,61.609,-20.703
"Marret et al., 27",L2008,64.46567,-52.927
"Marret et al., 26",L2009,64.36133,-52.96167
"Marret et al., 25",B2010,70.76017,-56.75433
"Marret et al., 24",B2011,73.26533,-57.84917
"Marret et al., 23",B2012,73.58767,-58.09417
"Marret et al., 22",B2013,75.99,-66.31817
"Marret et al., 21",B2014,75.98167,-65.4445
"Marret et al., 20",B2015,75.83317,-62.5165
"Marret et al., 19",B2016,75.76833,-64.14283
"Marret et al., 18",B2017,73.98417,-61.79417
"Marret et al., 17",B2018,75.22367,-59.822
"Marret et al., 16",B2019,75.12483,-60.287
"Marret et al., 15",B2020,75.00217,-58.7225
"Marret et al., 14",B2021,73.69567,-57.24067
"Marret et al., 13",B2022,72.8235,-60.04717
"Marret et al., 12",L2023,63.554,-52.22
"Marret et al., 11",L2024,62.98,-51.5
"Marret et al., 10",L2025,61.75,-53
"Marret et al., 9",D2026,59.94,-65.94
"Marret et al., 8",D2027,60.93,-65.97
"Marret et al., 7",B2028,58.36,-57.47
"Marret et al., 6",B2029,58.76,-61.88
"Marret et al., 5",B2030,57.66,-60.87
"Marret et al., 4",B2031,56.25,-59.68
"Marret et al., 3",S2032,54.48,-56.07
"Marret et al., 2",S2033,54.41,-56.01
"Marret et al., 1",L2034,54.57,-50.68
"Marret et al., 0",A2035,48.35,-51.31
"Marret et al., 1",G2036,48.55,-62.25
"Marret et al., 2",G2037,49.29,-63.99
"Marret et al., 3",G2038,49.5,-66
"Marret et al., 4",E2039,49.12,-67.28
"Marret et al., 5",E2040,48.64,-68.63
"Marret et al., 6",G2041,50.04,-66.38
"Marret et al., 7",G2042,50.22,-58.47
"Marret et al., 8",G2043,58.49,-63.15
"Marret et al., 9",D2044,61.3,-71.06
"Marret et al., 10",D2045,63.05,-74.32
"Marret et al., 11",D2046,61.1,-66.69
"Marret et al., 12",L2047,59.05,-63.65
"Marret et al., 13",A2048,79.2036,4.6688
"Marret et al., 14",Y2049,80.3855,-6.9415
"Marret et al., 15",Z2050,81.4646,-8.4388
"Marret et al., 16",Z2051,81.217,-7.3413
"Marret et al., 17",Z2052,81.52,-6.59
"Marret et al., 18",Z2053,81.74,-8.14
"Marret et al., 19",Z2054,80.9097,-6.3816
"Marret et al., 20",Y2055,80.481,-8.4873
"Marret et al., 21",Y2056,80.3698,-9.9756
"Marret et al., 22",A2057,79.3438,-3.0533
"Marret et al., 23",A2058,76.9637,-3.447
"Marret et al., 24",A2059,76.9635,-3.449
"Marret et al., 25",A2060,75.7398,-3.1508
"Marret et al., 26",A2061,75.084,-6.812
"Marret et al., 27",A2062,75.085,-6.8126
"Marret et al., 28",T2063,48.81,-53.41
"Marret et al., 29",T2064,47.85,-53.58
"Marret et al., 30",T2065,48.06,-53.33
"Marret et al., 31",T2066,47.24,-54.61
"Marret et al., 32",T2067,47.14,-54.55
"Marret et al., 33",T2068,46.99,-54.7
"Marret et al., 34",L2069,65,-59
"Marret et al., 35",L2070,64,-58
"Marret et al., 36",B2071,68.84,-66.27
"Marret et al., 37",L2072,62.54,-52.63
"Marret et al., 38",L2073,52.96,-51.29
"Marret et al., 39",B2073,68.97,-59.57
"Marret et al., 40",L2075,64.96,-56.44
"Marret et al., 41",L2076,60.505,-47.16667
"Marret et al., 42",L2077,63.51667,-52.50667
"Marret et al., 43",L2078,63.56667,-52.09333
"Marret et al., 44",L2079,62.87333,-52.04833
"Marret et al., 45",L2080,62.60833,-50.94333
"Marret et al., 46",L2081,62.49333,-50.70167
"Marret et al., 47",L2082,64.555,-53.005
"Marret et al., 48",L2083,64.91333,-52.97167
"Marret et al., 49",B2084,65.9933,-56.515
"Marret et al., 50",B2085,66.495,-54.45333
"Marret et al., 51",B2086,68.25,-57.205
"Marret et al., 52",B2087,68.56333,-54.72
"Marret et al., 53",B2088,68.625,-53.94833
"Marret et al., 54",B2089,68.655,-54.165
"Marret et al., 55",B2090,68.335,-55.345
"Marret et al., 56",B2091,68.355,-56.575
"Marret et al., 57",B2092,68.76,-57.56167
"Marret et al., 58",B2093,69.06,-57.19167
"Marret et al., 59",B2094,69.5,-57.16667
"Marret et al., 60",G2095,47.26151667,-61.35795
"Marret et al., 61",G2096,47.2934,-61.3098
"Marret et al., 62",G2097,47.3948,-61.37876667
"Marret et al., 63",G2098,47.36353333,-61.51935
"Marret et al., 64",G2099,47.34605,-61.68053333
"Marret et al., 65",G2100,48.0509,-60.3894
"Marret et al., 66",G2101,48.01358333,-60.3957
"Marret et al., 67",G2102,48.04791667,-60.3457
"Marret et al., 68",G2103,48.12016667,-60.32353333
"Marret et al., 69",G2104,48.13626667,-60.4156
"Marret et al., 70",B2105,77.2791,-74.35713333
"Marret et al., 71",B2106,76.35473333,-77.5429
"Marret et al., 72",B2107,76.31438333,-71.11246667
"Marret et al., 73",B2108,74.951,-67.31833
"Marret et al., 74",L2109,63.367,-58.42033
"Marret et al., 75",L2110,63.34667,-58.3405
"Marret et al., 76",L2111,63.34733,-58.38983
"Marret et al., 77",Z2112,76.41,173.88
"Marret et al., 78",Z2113,79.23,152.68
"Marret et al., 79",L2115,56.89,-52.69
"Marret et al., 80",L2116,54.29,-48
"Marret et al., 81",L2117,53.38,-50.25
"Marret et al., 82",L2118,52.67,-51.97
"Marret et al., 83",L2119,62.55,-56.47
"Marret et al., 84",A2120,79.6311,-6.0598
"Marret et al., 85",Y2121,80.051,-8.9691
"Marret et al., 86",Y2122,79.8266,-12.4892
"Marret et al., 87",A2123,78.5024,-17.3139
"Marret et al., 88",A2124,77.1272,-10.6607
"Marret et al., 89",A2125,74.3076,-20.2956
"Marret et al., 90",Z2127,72.05,-119.78
"Marret et al., 91",L2128,59.05,-63.86
"Marret et al., 92",B2132,70.3,-66.09
"Marret et al., 93",Z2134,74.12,-83.37
"Marret et al., 94",B2140,71.43,-70.44
"Marret et al., 95",L2142,56.89,-52.69
"Marret et al., 96",Z2144,68.4902,-103.4189
"Marret et al., 97",Z2145,68.3142,-102.9448
"Marret et al., 98",Z2146,68.3103,-101.7655
"Marret et al., 99",Z2147,68.3165,-100.8032
"Marret et al., 100",Z2148,71.4595,-101.2724
"Marret et al., 101",Z2149,71.8692,-102.7247
"Marret et al., 102",L2150,60.23,-46.97
"Marret et al., 103",B2151,69.51,-55.99
"Marret et al., 104",B2152,69.5,-54.91
"Marret et al., 105",B2153,69.66,-55.6
"Marret et al., 106",B2154,69.15,-53.42
"Marret et al., 107",B2155,68.84,-52.34
"Marret et al., 108",B2156,69.05,-52.43
"Marret et al., 109",B2157,68.13,-54.21
"Marret et al., 110",B2158,62.05,-50.82
"Marret et al., 111",L2160,59.51,-45.41
"Marret et al., 112",B2161,66.63,-54.21
"Marret et al., 113",B2163,68.491666,-54.021666
"Marret et al., 114",L2164,62.383333,-50.8316666
"Marret et al., 115",A2165,59.8143,-39.7987
"Marret et al., 116",L2166,57.7117,-48.0115
"Marret et al., 117",L2167,58.0472,-47.0393
"Marret et al., 118",L2168,58.6035,-46.3795
"Marret et al., 119",A2169,66.6255,-20.8527
"Marret et al., 120",A2170,67.8609,-21.8816
"Marret et al., 121",A2171,70.1269,-17.6632
"Marret et al., 122",A2172,70.8225,-17.0798
"Marret et al., 123",A2173,73.138,-15.6746
"Marret et al., 124",A2174,73.1875,-16.5209
"Marret et al., 125",A2175,73.2422,-16.2959
"Marret et al., 126",A2176,74.9478,-11.9217
"Marret et al., 127",A2177,75.0313,-10.9469
"Marret et al., 128",A2178,75.0035,-8.8206
"Marret et al., 129",A2179,74.1396,-10.3409
"Marret et al., 130",A2180,72.0716,-15.751
"Marret et al., 131",A2181,70.8279,-19.1128
"Marret et al., 132",A2182,70.8392,-19.4317
"Marret et al., 133",A2183,70.796,-19.509
"Marret et al., 134",A2184,70.1835,-20.3786
"Marret et al., 135",A2185,69.0645,-21.2941
"Marret et al., 136",A2186,68.962,-21.14
"Marret et al., 137",GeoB6211,-32.5,-50.25
"Marret et al., 138",GeoB6212,-32.68,-50.12
"Marret et al., 139",GeoB6220,-33.35,-49.38
"Marret et al., 140",MN6A,44.9005,30.49948
"Marret et al., 141",18MUC4,44.56,36
"Marret et al., 142",GC29,44.83533333,31.98392333
"Marret et al., 143",MAR05-4G/13P,41.16645,31.1281
"Marret et al., 144",US02,39.26666667,51.48333333
"Marret et al., 145",B13,42,37.9
"Marret et al., 146",HERMES17B,44.83777,32.1311
"Marret et al., 147",HERMES28,44.79634,32.0744
"Marret et al., 148",HERM33A,44.6571,31.92753
"Marret et al., 149",HERMES31A,44.7858,31.9253
"Marret et al., 150",G20,38.5,24.5
"Marret et al., 151",MAR97-09,40.9,28.9
"Marret et al., 152",HERMES14,44.8939,32.1738
"Marret et al., 153",HERMES42,44.6413,31.2991
"Marret et al., 154",(#9) R5108,25.13,-80.62
"Marret et al., 155",(#11) R5054A,25.1,-80.57
"Marret et al., 156",MN6M,44.9005,30.49948
"Marret et al., 157",MAR02-65,41.555,29.05583333
"Marret et al., 158",MN7M,44.98501667,30.2506
"Marret et al., 159",MN15M,44.00403167,29.70193167
"Marret et al., 160",MN4M,44.550105,30.4503
"Marret et al., 161",B7,42.5,37
"Marret et al., 162",HERMES7,44.99546,32.30335
"Marret et al., 163",MN5M,44.82154722,30.74652778
"Marret et al., 164",HERMES19A,44.81583,32.11194
"Marret et al., 165",MAR02-88,40.62655667,28.84181333
"Marret et al., 166",MAR02-19,40.64133333,27.415
"Marret et al., 167",MAR02-77,41.33383333,28.8535
"Marret et al., 168",SH4,45.41616667,31.36516667
"Marret et al., 169",HERMES1A,45.03083,32.49639
"Marret et al., 170",HERMES32,44.77444,31.92667
"Marret et al., 171",HERMES25,44.83541,32.19277
"Marret et al., 172",SH3,45.51666667,31.68216667
"Marret et al., 173",HERMES35,44.6169,31.7379
"Marret et al., 174",MAR98-04,41.5,29.3
"Marret et al., 175",MN2/2A,44.11555167,29.96684667
"Marret et al., 176",HERMES4,45.03017,32.41285
"Marret et al., 177",MN1A,44.14319833,29.43839
"Marret et al., 178",MN17M,44.013185,29.50150667
"Marret et al., 179",HERMES38,44.69469,31.44987
"Marret et al., 180",MAR02-14,40.58803333,27.4042
"Marret et al., 181",MN5A,44.82154722,30.74652778
"Marret et al., 182",HERMES30,44.8017,31.9617
"Marret et al., 183",MAR02-74,41.39405,28.90408333
"Marret et al., 184",MN17A,44.013185,29.50150667
"Marret et al., 185",MAR02-12,40.56846667,27.39233333
"Marret et al., 186",MN19,44,30
"Marret et al., 187",MN14M,44.49936667,29.8488
"Marret et al., 188",MN3M,44.01481,30.010095
"Marret et al., 189",HERMES36,44.7204,31.6537
"Marret et al., 190",MN15A,44.00403167,29.70193167
"Marret et al., 191",MAR02-68,41.54301667,29.05026667
"Marret et al., 192",HERMES27,44.76992,32.11649
"Marret et al., 193",HERMES10,44.9535,32.194
"Marret et al., 194",MN14A,44.49936667,29.8488
"Marret et al., 195",MN16M,44.01361,29.587125
"Marret et al., 196",HERMES37,44.60024,31.54174
"Marret et al., 197",CORE45B-1,44.6712,31.2917
"Marret et al., 198",MN9M/9A,45.0052,29.79190556
"Marret et al., 199",MN10A,45.08171833,29.7804
"Marret et al., 200",MN10M,45.08171833,29.7804
"Marret et al., 201",MAR02-01,40.35325,27.38736667
"Marret et al., 202",MAR02-10,40.528,27.3875
"Marret et al., 203",MAR98-02,40.9,27.6
"Marret et al., 204",MAR97-12,40.8,27.8
"Marret et al., 205",MAR97-11,40.7,28.4
"Marret et al., 206",MAR94-05,40.9,28.1
"Marret et al., 207",MAR02-78,41.33,28.84
"Marret et al., 208",MAR02-45,41.68503333,28.31746667
"Marret et al., 209",MAR05-51,41.4939,29.0732
"Marret et al., 210",MN8M,45.01554164,29.99306592
"Marret et al., 211",MN8A,45.01554164,29.99306592
"Marret et al., 212",MN7A,44.98501667,30.2506
"Marret et al., 213",MN13M,44.01481,30.010095
"Marret et al., 214",MN18M,44.00211986,29.02436125
"Marret et al., 215",HERMES6,45.0069,32.3392
"Marret et al., 216",HERMES12A,44.9386,32.1892
"Marret et al., 217",HERMES 18,44.82983333,32.1165
"Marret et al., 218",HERMES33,44.72274,31.92686
"Marret et al., 219",HERMES40,44.68356,31.3674
"Marret et al., 220",HERMES43,44.6294,31.2181
