Source,location,lat,long
"Marret et al., 1245",A418,62.95,-21.62
"Marret et al., 1244",A419,41.92,-65.46
"Marret et al., 1243",A420,42.56,-67.92
"Marret et al., 1242",A421,42.67,-69.66
"Marret et al., 1241",A422,42.02,-69.15
"Marret et al., 1240",A423,42.82,-69.96
"Marret et al., 1239",A424,42.47,-67.11
"Marret et al., 1238",A425,42.48,-68.46
"Marret et al., 1237",A426,42.01,-68.19
"Marret et al., 1236",A427,42.94,-67.36
"Marret et al., 1235",A428,43.38,-67.76
"Marret et al., 1234",Z432,73.45,-166.25
"Marret et al., 1233",Z435,73.19,-126.46
"Marret et al., 1232",Z436,70.15,-133.43
"Marret et al., 1231",Z438,70.97,-134.69
"Marret et al., 1230",Z439,70.01,-138.59
"Marret et al., 1229",Z459,74.01,137.66
"Marret et al., 1228",Z462,74.49,119.96
"Marret et al., 1227",Z466,74.48,137.04
"Marret et al., 1226",Z467,75.01,136.03
"Marret et al., 1225",Z470,75.02,119.89
"Marret et al., 1224",Z471,75,114.53
"Marret et al., 1223",Z472,75.47,119.96
"Marret et al., 1222",Z473,75.48,123.84
"Marret et al., 1221",Z474,75.42,125.84
"Marret et al., 1220",Z477,75.34,135.17
"Marret et al., 1219",Z480,77.11,137.23
"Marret et al., 1218",Z482,76.84,137.29
"Marret et al., 1217",Z483,75.49,115.25
"Marret et al., 1216",Z492,74.5,119.83
"Marret et al., 1215",Z493,74.5,114.28
"Marret et al., 1214",Z494,75.5,115.54
"Marret et al., 1213",Z495,78.03,102.31
"Marret et al., 1212",Z496,77.71,102.29
"Marret et al., 1211",Z497,77.89,101.59
"Marret et al., 1210",Z498,76.51,133.35
"Marret et al., 1209",Z499,79.65,130.54
"Marret et al., 1208",Z500,78.48,133
"Marret et al., 1207",Z501,78.17,133.4
"Marret et al., 1206",Z502,78.1,133.51
"Marret et al., 1205",Z503,78.07,133.61
"Marret et al., 1204",Z504,77.41,133.56
"Marret et al., 1203",Z505,77.48,125.9
"Marret et al., 1202",Z506,77.18,126.22
"Marret et al., 1201",Z507,77.13,126.35
"Marret et al., 1200",Z508,77.08,126.22
"Marret et al., 1199",Z509,77.69,125.89
"Marret et al., 1198",Z510,78.06,125
"Marret et al., 1197",Z511,79.22,122.91
"Marret et al., 1196",Z512,79.16,119.78
"Marret et al., 1195",Z513,78.67,118.74
"Marret et al., 1194",Z514,77.98,118.57
"Marret et al., 1193",Z515,77.67,118.57
"Marret et al., 1192",Z516,77.53,118.46
"Marret et al., 1191",Z517,77.39,118.19
"Marret et al., 1190",Z518,77.17,118.71
"Marret et al., 1189",Z519,78.47,110.79
"Marret et al., 1188",Z520,78.7,112.51
"Marret et al., 1187",Z521,78.76,112.7
"Marret et al., 1186",Z522,78.58,111.38
"Marret et al., 1185",Z523,77.9,105.08
"Marret et al., 1184",Z530,75.54,114.5
"Marret et al., 1183",Z531,77.02,116.05
"Marret et al., 1182",A532,64.3,-24.23
"Marret et al., 1181",A533,67.15,-30.82
"Marret et al., 1180",A534,67.14,-31.88
"Marret et al., 1179",Z535,69.11,33.42
"Marret et al., 1178",Z536,69.18,33.56
"Marret et al., 1177",Z537,69.3,33.54
"Marret et al., 1176",Z538,69.37,33.72
"Marret et al., 1175",Z539,69.49,33.83
"Marret et al., 1174",Z540,70.34,34.37
"Marret et al., 1173",Z541,71.74,42.61
"Marret et al., 1172",Z542,71.12,45.25
"Marret et al., 1171",Z543,74.82,-97.18
"Marret et al., 1170",Z546,74.5,-92.58
"Marret et al., 1169",Z547,70.35,-133.8
"Marret et al., 1168",Z548,73.22,58.55
"Marret et al., 1167",Z549,72.29,57.64
"Marret et al., 1166",Z550,71.42,30.42
"Marret et al., 1165",Z551,71.39,31.97
"Marret et al., 1164",Z552,70.83,36.27
"Marret et al., 1163",Z553,71.07,37.05
"Marret et al., 1162",Z554,71.26,37.92
"Marret et al., 1161",Z555,76.72,59.77
"Marret et al., 1160",Z556,75.43,57.32
"Marret et al., 1159",Z557,75.62,56.43
"Marret et al., 1158",Z558,77,70.01
"Marret et al., 1157",Z559,78.32,70.03
"Marret et al., 1156",Z560,73.62,50.72
"Marret et al., 1155",Z561,74.14,55.52
"Marret et al., 1154",Z562,74.45,52.43
"Marret et al., 1153",Z563,74,-161.4
"Marret et al., 1152",Z564,74.51,-159.98
"Marret et al., 1151",Y566,76.96,-72.48
"Marret et al., 1150",Y567,78.34,-74.7
"Marret et al., 1149",Y568,76.98,-75.05
"Marret et al., 1148",Y569,77.85,-74.79
