source,geography,core or outcrop,location,lat,long,age,miinage,maxage,paleolatitude,lower,upper,interpolated,stable,,,pal_lat source,tier,version
"Brinkhuis et al., 2003b, Bijl et al., 2013; 2021; Sluijs et al., 2003",Australia,core,1172,-43.9,149.5,60,30,70,-60.47508,-61.27947,-59.67948,FALSE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Brinkhuis et al., 2003b, Bijl et al., 2013; 2021; Sluijs et al., 2003",Australia,core,1172,-43.9,149.5,61,30,70,-60.73555,NA,NA,FALSE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Brinkhuis et al., 2003b, Bijl et al., 2013; 2021; Sluijs et al., 2003",Australia,core,1172,-43.9,149.5,62,30,70,-60.99602,NA,NA,FALSE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Brinkhuis et al., 2003b, Bijl et al., 2013; 2021; Sluijs et al., 2003",Australia,core,1172,-43.9,149.5,63,30,70,-61.25649,NA,NA,FALSE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Brinkhuis et al., 2003b, Bijl et al., 2013; 2021; Sluijs et al., 2003",Australia,core,1172,-43.9,149.5,64,30,70,-61.39687,-62.50488,-60.30494,FALSE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Brinkhuis et al., 2003b, Bijl et al., 2013; 2021; Sluijs et al., 2003",Australia,core,1172,-43.9,149.5,65,30,70,-61.77743,NA,NA,FALSE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Brinkhuis et al., 2003b, Bijl et al., 2013; 2021; Sluijs et al., 2003",Australia,core,1172,-43.9,149.5,66,30,70,-62.0379,NA,NA,FALSE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Brinkhuis et al., 2003b, Bijl et al., 2013; 2021; Sluijs et al., 2003",Australia,core,1172,-43.9,149.5,67,30,70,-62.29837,NA,NA,FALSE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Brinkhuis et al., 2003b, Bijl et al., 2013; 2021; Sluijs et al., 2003",Australia,core,1172,-43.9,149.5,68,30,70,-62.55884,NA,NA,FALSE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Brinkhuis et al., 2003b, Bijl et al., 2013; 2021; Sluijs et al., 2003",Australia,core,1172,-43.9,149.5,69,30,70,-62.81931,NA,NA,FALSE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Brinkhuis et al., 2003b, Bijl et al., 2013; 2021; Sluijs et al., 2003",Australia,core,1172,-43.9,149.5,70,30,70,-63.07978,-64.25483,-61.92159,TRUE,TRUE,801,Australia,"Vaes et al., 2023",2,1
"Egger et al., 2016",N atlantic,core,1405,40.15,-51.9,21,21,35,34.68174,33.59657,35.79699,FALSE,TRUE,101,North America,"Vaes et al., 2023",1,1
"Egger et al., 2016",N atlantic,core,1405,40.15,-51.9,28,21,35,34.6876,33.69987,35.70019,FALSE,TRUE,101,North America,"Vaes et al., 2023",1,1
"Egger et al., 2016",N atlantic,core,1405,40.15,-51.9,35,21,35,33.7613,32.47175,35.09476,TRUE,TRUE,101,North America,"Vaes et al., 2023",1,1
"Egger et al., 2016",N atlantic,core,1406,40.4,-51.6,21,21,35,34.90217,33.81696,36.01737,FALSE,TRUE,101,North America,"Vaes et al., 2023",1,1
"Egger et al., 2016",N atlantic,core,1406,40.4,-51.6,28,21,35,34.89665,33.90889,35.9092,FALSE,TRUE,101,North America,"Vaes et al., 2023",1,1
"Egger et al., 2016",N atlantic,core,1406,40.4,-51.6,35,21,35,33.97193,32.68234,35.30534,TRUE,TRUE,101,North America,"Vaes et al., 2023",1,1
"Egger et al., 2016",N atlantic,core,1411,41.6,-49,21,21,35,35.85982,34.77445,36.97484,FALSE,TRUE,101,North America,"Vaes et al., 2023",1,1
"Egger et al., 2016",N atlantic,core,1411,41.6,-49,28,21,35,35.76209,34.77421,36.77451,FALSE,TRUE,101,North America,"Vaes et al., 2023",1,1
"Egger et al., 2016",N atlantic,core,1411,41.6,-49,35,21,35,34.85118,33.56139,36.18435,TRUE,TRUE,101,North America,"Vaes et al., 2023",1,1
"Radmacher et al., 2015",Norwegian Sea,core,6711,67.8,11.5,66,66,113,57.72743,56.61469,58.85912,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
"Radmacher et al., 2015",Norwegian Sea,core,6711,67.8,11.5,82,66,113,59.84686,58.55874,61.15868,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
"Radmacher et al., 2015",Norwegian Sea,core,6711,67.8,11.5,89,66,113,60.89791,59.70768,62.10762,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
"Radmacher et al., 2015",Norwegian Sea,core,6711,67.8,11.5,94,66,113,60.28668,58.41171,62.2115,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
"Radmacher et al., 2015",Norwegian Sea,core,6711,67.8,11.5,113,66,113,59.28285,57.77943,60.81935,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
"Iakovleva and Heilmann-Clausen, 2010",Siberia,core,011-BP,54.5,74.05,35,35,53,52.81545,51.5194,54.14172,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",2,1
"Iakovleva and Heilmann-Clausen, 2010",Siberia,core,011-BP,54.5,74.05,37,35,53,53.09512,51.71195,54.51206,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",2,1
"Iakovleva and Heilmann-Clausen, 2010",Siberia,core,011-BP,54.5,74.05,53,35,53,52.72117,51.668,53.79437,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",2,1
"Vieira et al., 2020",North Sea,core,25_8-4,59,3,56,56,60,49.14614,48.15563,50.15572,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Vieira et al., 2020",North Sea,core,25_8-4,59,3,60,56,60,48.45099,47.65717,49.25722,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Davey, 1979",N atlantic,core,400A,47.4,-9.15,100,100,124,39.81037,38.0666,41.6279,TRUE,TRUE,317,Porcupine Plate,"Vaes et al., 2023",3,1
"Davey, 1979",N atlantic,core,400A,47.4,-9.15,114,100,124,38.58726,37.11335,40.11418,FALSE,TRUE,317,Porcupine Plate,"Vaes et al., 2023",3,1
"Davey, 1979",N atlantic,core,400A,47.4,-9.15,120,100,124,36.61258,35.52707,37.72745,FALSE,TRUE,317,Porcupine Plate,"Vaes et al., 2023",3,1
"Davey, 1979",N atlantic,core,400A,47.4,-9.15,124,100,124,35.55644,34.57764,36.55976,TRUE,TRUE,317,Porcupine Plate,"Vaes et al., 2023",3,1
"Costa and Downie, 1979",N atlantic,core,403-406,56.05,-23.25,5,5,58,53.66694,52.39273,54.96927,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Costa and Downie, 1979",N atlantic,core,403-406,56.05,-23.25,21,5,58,49.65014,48.56148,50.76159,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Costa and Downie, 1979",N atlantic,core,403-406,56.05,-23.25,28,5,58,49.23071,48.24019,50.24028,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Costa and Downie, 1979",N atlantic,core,403-406,56.05,-23.25,37,5,58,48.61596,47.23476,50.03502,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Costa and Downie, 1979",N atlantic,core,403-406,56.05,-23.25,56,5,58,46.06133,45.0715,47.07163,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Costa and Downie, 1979",N atlantic,core,403-406,56.05,-23.25,58,5,58,45.92933,45.03769,46.83779,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Head and Norris, 2003",N Atlantic,core,603A,35.5,-75,0,0,7,35.5,NA,NA,FALSE,TRUE,199,Alleghanian North America,"Vaes et al., 2023",1,1
"Head and Norris, 2003",N Atlantic,core,603A,35.5,-75,1,0,7,35.09188,34.39789,35.79799,FALSE,TRUE,199,Alleghanian North America,"Vaes et al., 2023",1,1
"Head and Norris, 2003",N Atlantic,core,603A,35.5,-75,4,0,7,33.91785,32.63867,35.2394,FALSE,TRUE,199,Alleghanian North America,"Vaes et al., 2023",1,1
"Head and Norris, 2003",N Atlantic,core,603A,35.5,-75,7,0,7,33.68558,32.4407,34.97079,TRUE,TRUE,199,Alleghanian North America,"Vaes et al., 2023",1,1
"Masure, 1988",mid-Atlantic,core,638B,42.12,-12.15,112,112,140,36.46272,34.9512,38.03226,TRUE,TRUE,304,Iberia,"Vaes et al., 2023",3,1
"Masure, 1988",mid-Atlantic,core,638B,42.12,-12.15,114,112,140,36.53686,35.0637,38.06465,FALSE,TRUE,304,Iberia,"Vaes et al., 2023",3,1
"Masure, 1988",mid-Atlantic,core,638B,42.12,-12.15,120,112,140,35.20123,34.11598,36.31638,FALSE,TRUE,304,Iberia,"Vaes et al., 2023",3,1
"Masure, 1988",mid-Atlantic,core,638B,42.12,-12.15,131,112,140,34.01926,33.22719,34.82736,FALSE,TRUE,304,Iberia,"Vaes et al., 2023",3,1
"Masure, 1988",mid-Atlantic,core,638B,42.12,-12.15,134,112,140,34.63685,33.74681,35.54704,FALSE,TRUE,304,Iberia,"Vaes et al., 2023",3,1
"Masure, 1988",mid-Atlantic,core,638B,42.12,-12.15,140,112,140,34.64905,33.1537,36.22282,TRUE,TRUE,304,Iberia,"Vaes et al., 2023",3,1
"De Schepper et al., 2017",North Atlantic,core,642B,67.25,3,1,1,7,67.04695,66.34957,67.74954,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",1,1
"De Schepper et al., 2017",North Atlantic,core,642B,67.25,3,4,1,7,65.55315,64.26279,66.86263,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",1,1
"De Schepper et al., 2017",North Atlantic,core,642B,67.25,3,7,1,7,64.72996,63.47464,66.00391,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",1,1
"McMinn, 1992",NW Australia,core,765A,-18,117.55,0,0,16,-18,NA,NA,FALSE,TRUE,801,Australia,"Vaes et al., 2023",3,1
"McMinn, 1992",NW Australia,core,765A,-18,117.55,1,0,16,-18.30683,-19.01283,-17.61263,FALSE,TRUE,801,Australia,"Vaes et al., 2023",3,1
"McMinn, 1992",NW Australia,core,765A,-18,117.55,4,0,16,-18.65248,-19.97363,-17.37239,FALSE,TRUE,801,Australia,"Vaes et al., 2023",3,1
"McMinn, 1992",NW Australia,core,765A,-18,117.55,16,0,16,-24.54288,-25.71931,-23.40088,TRUE,TRUE,801,Australia,"Vaes et al., 2023",3,1
"Smelror and Dietl, 1994",Swabia,outcrop,Albstadt,48.22,9.01,164,164,167,37.00199,33.90838,40.34616,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Smelror and Dietl, 1994",Swabia,outcrop,Albstadt,48.22,9.01,167,164,167,37.14316,33.95013,40.60304,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Torricelli et al., 2022",Angola,core,Angola,-6,11.5,14,14,34,-10.97744,-12.17209,-9.80635,TRUE,TRUE,701,South Africa,"Vaes et al., 2023",3,2
"Torricelli et al., 2022",Angola,core,Angola,-6,11.5,21,14,34,-13.295,-14.40765,-12.20684,FALSE,TRUE,701,South Africa,"Vaes et al., 2023",3,2
"Torricelli et al., 2022",Angola,core,Angola,-6,11.5,28,14,34,-15.00394,-16.01515,-14.01455,FALSE,TRUE,701,South Africa,"Vaes et al., 2023",3,2
"Torricelli et al., 2022",Angola,core,Angola,-6,11.5,34,14,34,-15.70402,-16.98976,-14.45515,TRUE,TRUE,701,South Africa,"Vaes et al., 2023",3,2
"Crouch et al., 2014",New Zealand,outcrop,"Angora Road, Tawanui",-40.36,176.57,56,56,67,-48.59571,-49.60543,-47.60533,FALSE,TRUE,833,Lord Howe Rise,"Vaes et al., 2023",1,1
"Crouch et al., 2014",New Zealand,outcrop,"Angora Road, Tawanui",-40.36,176.57,60,56,67,-49.90925,-50.71526,-49.11522,FALSE,TRUE,833,Lord Howe Rise,"Vaes et al., 2023",1,1
"Crouch et al., 2014",New Zealand,outcrop,"Angora Road, Tawanui",-40.36,176.57,64,56,67,-51.90369,-53.01448,-50.81441,FALSE,TRUE,833,Lord Howe Rise,"Vaes et al., 2023",1,1
"Crouch et al., 2014",New Zealand,outcrop,"Angora Road, Tawanui",-40.36,176.57,67,56,67,-53.81869,-54.96275,-52.69604,TRUE,TRUE,833,Lord Howe Rise,"Vaes et al., 2023",1,1
"Bujak et al., 2022",Arctic,core/outcrop,Arctic Basin,88,-9,140,140,205,70.83393,69.31407,72.37987,TRUE,TRUE,101,North America,"Vaes et al., 2023",3,2
"Bujak et al., 2022",Arctic,core/outcrop,Arctic Basin,88,-9,152,140,205,72.41629,69.64918,75.24673,FALSE,TRUE,101,North America,"Vaes et al., 2023",3,2
"Bujak et al., 2022",Arctic,core/outcrop,Arctic Basin,88,-9,158,140,205,73.86325,70.89816,76.89497,FALSE,TRUE,101,North America,"Vaes et al., 2023",3,2
"Bujak et al., 2022",Arctic,core/outcrop,Arctic Basin,88,-9,172,140,205,72.48205,69.03369,76.02889,FALSE,TRUE,101,North America,"Vaes et al., 2023",3,2
"Bujak et al., 2022",Arctic,core/outcrop,Arctic Basin,88,-9,182,140,205,72.92958,71.2412,74.64064,FALSE,TRUE,101,North America,"Vaes et al., 2023",3,2
"Bujak et al., 2022",Arctic,core/outcrop,Arctic Basin,88,-9,189,140,205,70.25868,68.86773,71.66745,FALSE,TRUE,101,North America,"Vaes et al., 2023",3,2
"Bujak et al., 2022",Arctic,core/outcrop,Arctic Basin,88,-9,203,140,205,64.77111,62.99023,66.58984,FALSE,TRUE,101,North America,"Vaes et al., 2023",3,2
"Bujak et al., 2022",Arctic,core/outcrop,Arctic Basin,88,-9,205,140,205,63.83466,62.21775,65.48412,TRUE,TRUE,101,North America,"Vaes et al., 2023",3,2
"Helby et al., 1987",Australia,core,Australia Synthesis,-23.9,134.6,65,65,241,-46.87111,-47.99471,-45.77233,TRUE,TRUE,801,Australia,"Vaes et al., 2023",4,1
"Helby et al., 1987",Australia,core,Australia Synthesis,-23.9,134.6,82,65,241,-50.5245,-51.84015,-49.23999,FALSE,TRUE,801,Australia,"Vaes et al., 2023",4,1
"Helby et al., 1987",Australia,core,Australia Synthesis,-23.9,134.6,89,65,241,-55.1464,-56.35812,-53.95809,FALSE,TRUE,801,Australia,"Vaes et al., 2023",4,1
"Helby et al., 1987",Australia,core,Australia Synthesis,-23.9,134.6,94,65,241,-58.43862,-60.36508,-56.56518,FALSE,TRUE,801,Australia,"Vaes et al., 2023",4,1
"Helby et al., 1987",Australia,core,Australia Synthesis,-23.9,134.6,114,65,241,-61.32157,-62.83648,-59.83662,FALSE,TRUE,801,Australia,"Vaes et al., 2023",4,1
"Helby et al., 1987",Australia,core,Australia Synthesis,-23.9,134.6,120,65,241,-61.91613,-63.02398,-60.82404,FALSE,TRUE,801,Australia,"Vaes et al., 2023",4,1
"Helby et al., 1987",Australia,core,Australia Synthesis,-23.9,134.6,131,65,241,-65.24114,-66.04479,-64.44482,FALSE,TRUE,801,Australia,"Vaes et al., 2023",4,1
"Helby et al., 1987",Australia,core,Australia Synthesis,-23.9,134.6,134,65,241,-66.45357,-67.35796,-65.55801,FALSE,TRUE,801,Australia,"Vaes et al., 2023",4,1
"Helby et al., 1987",Australia,core,Australia Synthesis,-23.9,134.6,152,65,241,-59.88227,-62.7368,-57.13741,FALSE,TRUE,801,Australia,"Vaes et al., 2023",4,1
"Helby et al., 1987",Australia,core,Australia Synthesis,-23.9,134.6,158,65,241,-56.52566,-59.59583,-53.59574,FALSE,TRUE,801,Australia,"Vaes et al., 2023",4,1
"Helby et al., 1987",Australia,core,Australia Synthesis,-23.9,134.6,172,65,241,-51.93684,-55.5467,-48.5444,FALSE,TRUE,801,Australia,"Vaes et al., 2023",4,1
"Helby et al., 1987",Australia,core,Australia Synthesis,-23.9,134.6,182,65,241,-46.54886,-48.27843,-44.87782,FALSE,TRUE,801,Australia,"Vaes et al., 2023",4,1
"Helby et al., 1987",Australia,core,Australia Synthesis,-23.9,134.6,189,65,241,-44.51265,-45.93359,-43.13317,FALSE,TRUE,801,Australia,"Vaes et al., 2023",4,1
"Helby et al., 1987",Australia,core,Australia Synthesis,-23.9,134.6,203,65,241,-42.69295,-44.529,-40.92795,FALSE,TRUE,801,Australia,"Vaes et al., 2023",4,1
"Helby et al., 1987",Australia,core,Australia Synthesis,-23.9,134.6,209,65,241,-43.20788,-44.52642,-41.92604,FALSE,TRUE,801,Australia,"Vaes et al., 2023",4,1
"Helby et al., 1987",Australia,core,Australia Synthesis,-23.9,134.6,217,65,241,-44.09125,-45.20426,-43.00405,FALSE,TRUE,801,Australia,"Vaes et al., 2023",4,1
"Helby et al., 1987",Australia,core,Australia Synthesis,-23.9,134.6,224,65,241,-45.56426,-47.19102,-43.99046,FALSE,TRUE,801,Australia,"Vaes et al., 2023",4,1
"Helby et al., 1987",Australia,core,Australia Synthesis,-23.9,134.6,241,65,241,-53.52779,-56.42406,-50.76778,TRUE,TRUE,801,Australia,"Vaes et al., 2023",4,1
"Smelror, 1994",Arctic,outcrop,Barentz Sea,77,25,145,145,183,64.59306,62.56211,66.6834,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
"Smelror, 1994",Arctic,outcrop,Barentz Sea,77,25,152,145,183,64.90261,62.14885,67.74736,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
"Smelror, 1994",Arctic,outcrop,Barentz Sea,77,25,158,145,183,65.80119,62.8525,68.8505,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
"Smelror, 1994",Arctic,outcrop,Barentz Sea,77,25,172,145,183,64.30538,60.87949,67.87677,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
"Smelror, 1994",Arctic,outcrop,Barentz Sea,77,25,182,145,183,65.74192,64.05832,67.45796,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
"Smelror, 1994",Arctic,outcrop,Barentz Sea,77,25,183,145,183,65.44681,63.80544,67.11939,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
Bucefalo Palliani and Riding 2003,Germany,outcrop,Bavaria,48.7,11.4,178,178,193,41.12366,38.77803,43.62282,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
Bucefalo Palliani and Riding 2003,Germany,outcrop,Bavaria,48.7,11.4,182,178,193,42.88026,41.2114,44.61228,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
Bucefalo Palliani and Riding 2003,Germany,outcrop,Bavaria,48.7,11.4,189,178,193,42.82544,41.44663,44.24712,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
Bucefalo Palliani and Riding 2003,Germany,outcrop,Bavaria,48.7,11.4,193,178,193,41.30361,39.81532,42.84469,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
"Monteil et al., 1993",France,outcrop,Berrias,44.4,4.2,138,138,152,31.11712,29.82439,32.47089,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Monteil et al., 1993",France,outcrop,Berrias,44.4,4.2,152,138,152,31.21226,28.50898,34.11724,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
Olde et al 2015,Czech republic,core,Bohemian Basin,50.3,15.3,87,87,94,43.23268,42.02036,44.47782,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
Olde et al 2015,Czech republic,core,Bohemian Basin,50.3,15.3,89,87,94,43.49388,42.30928,44.70957,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
Olde et al 2015,Czech republic,core,Bohemian Basin,50.3,15.3,94,87,94,42.76107,40.89999,44.70122,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Stover and Hardenbol, 1994",Belgium,core,Boom Doel,51.1,4.36,28,28,35,43.76171,42.77236,44.77253,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Stover and Hardenbol, 1994",Belgium,core,Boom Doel,51.1,4.36,35,28,35,43.73379,42.44126,45.06387,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Londeix and Jan Du Chene, 1998",France,outcrop,Bordeaux,44.9,-0.57,11,11,21,41.22271,40.02157,42.45722,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Londeix and Jan Du Chene, 1998",France,outcrop,Bordeaux,44.9,-0.57,21,11,21,38.4814,37.39551,39.59584,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Shulgina et al., 1994",Siberia,outcrop,Boyarka,71.54,99.64,132,132,145,68.48355,67.6537,69.32032,TRUE,TRUE,401,Siberia,"Vaes et al., 2023",3,1
"Shulgina et al., 1994",Siberia,outcrop,Boyarka,71.54,99.64,134,132,145,68.32407,67.42816,69.22809,FALSE,TRUE,401,Siberia,"Vaes et al., 2023",3,1
"Shulgina et al., 1994",Siberia,outcrop,Boyarka,71.54,99.64,145,132,145,71.6562,69.61531,73.73592,TRUE,TRUE,401,Siberia,"Vaes et al., 2023",3,1
"Monteil et al., 1993; Monteil, 1992",France,outcrop,Broyon,44.7,4.7,132,132,152,31.29075,30.46625,32.13314,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Monteil et al., 1993; Monteil, 1992",France,outcrop,Broyon,44.7,4.7,134,132,152,31.38945,30.49971,32.29998,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Monteil et al., 1993; Monteil, 1992",France,outcrop,Broyon,44.7,4.7,152,132,152,31.55619,28.8527,34.46082,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Duque-Herrera et al., 2018",Colombia,core,Buenaventura 1-ST-P,3.8,-77,NA,5,18,NA,NA,NA,NA,TRUE,NA,NA,"Vaes et al., 2023",3,1
"Correia et al., 2019",Portugal,outcrop,Cabo Mondego,40.1,-8.9,166,166,183,31.00503,27.8524,34.43763,TRUE,TRUE,304,Iberia,"Vaes et al., 2023",3,1
"Correia et al., 2019",Portugal,outcrop,Cabo Mondego,40.1,-8.9,172,166,183,30.39782,27.04801,34.06476,FALSE,TRUE,304,Iberia,"Vaes et al., 2023",3,1
"Correia et al., 2019",Portugal,outcrop,Cabo Mondego,40.1,-8.9,182,166,183,32.93832,31.27407,34.67577,FALSE,TRUE,304,Iberia,"Vaes et al., 2023",3,1
"Correia et al., 2019",Portugal,outcrop,Cabo Mondego,40.1,-8.9,183,166,183,32.79399,31.171,34.48688,TRUE,TRUE,304,Iberia,"Vaes et al., 2023",3,1
"Feist-Burkhardt and Monteil, 1997",France,outcrop,Calvados,49.35,-0.78,166,166,171,36.07826,32.92003,39.50196,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Feist-Burkhardt and Monteil, 1997",France,outcrop,Calvados,49.35,-0.78,171,166,171,35.87641,32.55326,39.49409,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Heilmann-Clausen, 1987",Denmark,core,Central Danish Trough,56.2,4.25,100,100,152,48.456,46.70668,50.26724,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
"Heilmann-Clausen, 1987",Denmark,core,Central Danish Trough,56.2,4.25,114,100,152,47.60237,46.12443,49.1248,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
"Heilmann-Clausen, 1987",Denmark,core,Central Danish Trough,56.2,4.25,120,100,152,45.72517,44.63756,46.83774,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
"Heilmann-Clausen, 1987",Denmark,core,Central Danish Trough,56.2,4.25,131,100,152,42.73919,41.94615,43.54625,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
"Heilmann-Clausen, 1987",Denmark,core,Central Danish Trough,56.2,4.25,134,100,152,42.88982,41.9986,43.79873,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
"Heilmann-Clausen, 1987",Denmark,core,Central Danish Trough,56.2,4.25,152,100,152,42.9019,40.18556,45.78945,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
"Vieira et al., 2020b",North Sea,core,Central Graben,57,1,56,56,66,47.0813,46.09125,48.09137,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,2
"Vieira et al., 2020b",North Sea,core,Central Graben,57,1,60,56,66,46.41341,45.61988,47.21995,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,2
"Vieira et al., 2020b",North Sea,core,Central Graben,57,1,64,56,66,46.45667,45.36887,47.56904,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,2
"Vieira et al., 2020b",North Sea,core,Central Graben,57,1,66,56,66,46.71361,45.60403,47.84864,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,2
Gradstein et al 1992,North Sea,core,Central North Sea,60,2.5,22,22,66,53.49586,52.42017,54.59165,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
Gradstein et al 1992,North Sea,core,Central North Sea,60,2.5,28,22,66,52.65132,51.66002,53.66006,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
Gradstein et al 1992,North Sea,core,Central North Sea,60,2.5,37,22,66,52.56573,51.18279,53.98292,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
Gradstein et al 1992,North Sea,core,Central North Sea,60,2.5,56,22,66,50.1257,49.13497,51.13505,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
Gradstein et al 1992,North Sea,core,Central North Sea,60,2.5,60,22,66,49.43959,48.64563,50.24567,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
Gradstein et al 1992,North Sea,core,Central North Sea,60,2.5,64,22,66,49.47237,48.38376,50.58388,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
Gradstein et al 1992,North Sea,core,Central North Sea,60,2.5,66,22,66,49.73076,48.62033,50.86489,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"De Verteuil and Norris, 1996",USA,core,Chesapeak Bay,38.2,-76.8,4,4,25,36.66746,35.38763,37.98825,FALSE,TRUE,199,Alleghanian North America,"Vaes et al., 2023",4,1
"De Verteuil and Norris, 1996",USA,core,Chesapeak Bay,38.2,-76.8,21,4,25,35.4921,34.40679,36.60719,FALSE,TRUE,199,Alleghanian North America,"Vaes et al., 2023",4,1
"De Verteuil and Norris, 1996",USA,core,Chesapeak Bay,38.2,-76.8,25,4,25,35.96411,34.93443,37.02048,TRUE,TRUE,199,Alleghanian North America,"Vaes et al., 2023",4,1
Powell 1988,North Sea,core,compilation1,55,0,54,54,63,45.31206,44.28128,46.36565,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
Powell 1988,North Sea,core,compilation1,55,0,56,54,63,45.053,44.06338,46.06353,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
Powell 1988,North Sea,core,compilation1,55,0,60,54,63,44.39826,43.605,45.20508,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
Powell 1988,North Sea,core,compilation1,55,0,63,54,63,44.43625,43.42247,45.47264,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
"Head, 1998",W England,core,compilation2,52.39,1.73,0,0,4,52.39,NA,NA,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
"Head, 1998",W England,core,compilation2,52.39,1.73,1,0,4,52.17906,51.48338,52.8834,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
"Head, 1998",W England,core,compilation2,52.39,1.73,4,0,4,50.68056,49.396,51.99615,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",4,1
"Tocher and Jarvis, 1996",France,outcrop,Cordebugle,49.11,0.38,95,95,110,41.78833,39.94717,43.70847,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",3,1
