source,geography,core or outcrop,location,lat,long,age,miinage,maxage,paleolatitude,lower,upper,interpolated,stable,,,pal_lat source,tier,version
"Torricelli et al., 2022",Angola,core,block15,-6.30,11.00,30,,,-13.3,-15.9,-10.7,FALSE,FALSE,,,"Van Hinsbergen et al., 2015",3,2
"Torricelli et al., 2022",Angola,core,block15,-6.30,11.00,34,,,-14.3,-17.1,-11.6,TRUE,FALSE,,,"Van Hinsbergen et al., 2015",3,2
"Türkecan et al., 2018",Turkey,outcrop,Adana,37.30,35.15,18.00,,,34.30,29.30,39.30,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Türkecan et al., 2018",Turkey,outcrop,Adana,37.30,35.15,14.00,,,34.70,29.70,39.70,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Van Mourik and Brinkhuis, 2005",Italy,core/outcrop,Massignano,43.60,13.55,37.00,,,34.91,32.18,37.84,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",1,1
"Van Mourik and Brinkhuis, 2005",Italy,core/outcrop,Massignano,43.60,13.55,32.00,,,36.51,31.51,41.51,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",1,1
"Versteegh and Zevenboom, 1995",Greece,core,T20-87,35.00,23.75,0.00,,,35.00,35.00,35.00,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",1,1
"Versteegh and Zevenboom, 1995",Greece,core,T20-87,35.00,23.75,6.00,,,36.20,33.70,38.70,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",1,1
"Versteegh, 1997",Italy,outcrop,Singa,38.45,16.50,6.00,,,37.55,32.55,42.55,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",1,1
"Versteegh, 1997",Italy,outcrop,Singa,38.45,16.50,0.00,,,38.45,38.45,38.45,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",1,1
"Wilpshaar et al., 1996; Zevenboom, 1995",Italy,outcrop,Contessa,43.45,12.50,35.00,,,34.90,29.90,39.90,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Wilpshaar et al., 1996; Zevenboom, 1995",Italy,outcrop,Contessa,43.45,12.50,30.00,,,36.53,31.53,41.53,FALSE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
Powell 1986,Italy,outcrop,Lemme,44.80,8.90,29.00,,,38.49,33.49,43.49,TRUE,FALSE,,,"Van Hinsbergen et al., 2015",3,1
Powell 1986,Italy,outcrop,Lemme,44.80,8.90,21.00,,,39.58,37.06,42.26,TRUE,FALSE,,,"Van Hinsbergen et al., 2015",3,1
"Duque-Herrera et al., 2018",Colombia,core,Buenaventura 1-ST-P,3.80,-77.00,18.00,,,0.80,-1.60,3.30,TRUE,FALSE,,,"Van Hinsbergen et al., 2015",3,1
"Duque-Herrera et al., 2018",Colombia,core,Buenaventura 1-ST-P,3.80,-77.00,10.00,,,1.90,0.10,3.70,FALSE,FALSE,,,"Van Hinsbergen et al., 2015",3,1
"Duque-Herrera et al., 2018",Colombia,core,Buenaventura 1-ST-P,3.80,-77.00,5.00,,,2.60,0.80,4.50,TRUE,FALSE,,,"Van Hinsbergen et al., 2015",3,1
"Bujak and Matsuoka, 1986",nw Pacific,core,nw Pacific,46.70,138.20,0.00,,,46.70,46.70,46.70,FALSE,FALSE,,,"Van Hinsbergen et al., 2015",5,1
"Bujak and Matsuoka, 1986",nw Pacific,core,nw Pacific,46.70,138.20,10.00,,,49.90,48.10,51.70,FALSE,FALSE,,,"Van Hinsbergen et al., 2015",5,1
"Bujak and Matsuoka, 1986",nw Pacific,core,nw Pacific,46.70,138.20,20.00,,,52.00,49.50,54.70,FALSE,FALSE,,,"Van Hinsbergen et al., 2015",5,1
"Bujak and Matsuoka, 1986",nw Pacific,core,nw Pacific,46.70,138.20,24.00,,,52.60,50.10,55.30,TRUE,FALSE,,,"Van Hinsbergen et al., 2015",5,1
"Jiménez-Moreno et al., 2006",Central paratethys,core,Pannonian Basin,47.63,17.55,11.00,,,46.10,44.30,48.10,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Jiménez-Moreno et al., 2006",Central paratethys,core,Pannonian Basin,47.63,17.55,19.00,,,44.70,42.30,47.30,TRUE,FALSE,,,"Van Hinsbergen et al., 2020",3,1
"Oosting et al., 2006",Australia,core,263,-23.4,111,119,119,131,-53.01478,-54.19345,-51.86004,TRUE,TRUE,801,Australia,"Vaes et al., 2023",4,1
"Oosting et al., 2006",Australia,core,263,-23.4,111,120,119,131,-53.10057,-54.21102,-52.01097,FALSE,TRUE,801,Australia,"Vaes et al., 2023",4,1
"Oosting et al., 2006",Australia,core,263,-23.4,111,131,119,131,-53.31345,-54.11894,-52.51892,FALSE,TRUE,801,Australia,"Vaes et al., 2023",4,1
"Eldrett and Harding, 2009; Eldrett et al., 2004",Norway,core,338,68,3.5,32,32,52,60.62063,59.45262,61.80812,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",2,1
"Eldrett and Harding, 2009; Eldrett et al., 2004",Norway,core,338,68,3.5,37,32,52,60.57745,59.1909,61.9908,FALSE,TRUE,315,Eurasia,"Vaes et al., 2023",2,1
"Eldrett and Harding, 2009; Eldrett et al., 2004",Norway,core,338,68,3.5,52,32,52,58.64903,57.57351,59.7419,TRUE,TRUE,315,Eurasia,"Vaes et al., 2023",2,1
"Davey, 1978",Atlantic,core,361,-35.02,15.47,113,113,126,-42.13684,-43.68281,-40.64214,TRUE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Davey, 1978",Atlantic,core,361,-35.02,15.47,114,113,126,-41.94876,-43.47411,-40.47346,FALSE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Davey, 1978",Atlantic,core,361,-35.02,15.47,120,113,126,-42.22804,-43.34156,-41.1413,FALSE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Davey, 1978",Atlantic,core,361,-35.02,15.47,126,113,126,-41.09637,-42.04291,-40.17001,TRUE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Morgan, 1978",Atlantic,core,364,-11.55,11.99,93,93,114,-23.47618,-25.27884,-21.75588,TRUE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Morgan, 1978",Atlantic,core,364,-11.55,11.99,94,93,114,-23.36729,-25.31582,-21.51234,FALSE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Morgan, 1978",Atlantic,core,364,-11.55,11.99,114,93,114,-21.01737,-22.54676,-19.54494,FALSE,TRUE,701,South Africa,"Vaes et al., 2023",3,1
"Williams and Bujak, 1977",North Atlantic,core,370,33,-11.6,0,0,56,33,NA,NA,FALSE,TRUE,714,NW Africa,"Vaes et al., 2023",5,1
