source,location,lat,long
"Marret et al., 2020",GeoB6207,-30.63,-46.32
"Marret et al., 2020",C662,43.05,-62.16
"Marret et al., 2020",GeoB6208,-31.8,-45.67
"Marret et al., 2020",B2156,69.05,-52.43
"Marret et al., 2020",X1737,27.3049,-82.6
"Marret et al., 2020",C661,43.41,-60
"Marret et al., 2020",GeoB6209,-31.75,-48.15
"Marret et al., 2020",C660,43.12,-59.99
"Marret et al., 2020",GeoB6210,-31.52,-48.82
"Marret et al., 2020",C659,42.46,-59.61
"Marret et al., 2020",GeoB6213,-33.17,-49.57
"Marret et al., 2020",C658,43.31,-57.33
"Marret et al., 2020",GeoB6214,-34.53,-51.45
"Marret et al., 2020",C657,43.3,-57.64
"Marret et al., 2020",GeoB6216,-34.62,-51.23
"Marret et al., 2020",C656,45.37,-56.61
"Marret et al., 2020",GeoB6217,-34.72,-51
"Marret et al., 2020",C655,44.5,-55.87
"Marret et al., 2020",GeoB6219,-35.18,-50.57
"Marret et al., 2020",C654,44.68,-55.52
"Marret et al., 2020",GeoB6221,-33.55,-49.22
"Marret et al., 2020",C653,43.48,-54.87
"Marret et al., 2020",GeoB6222,-33.55,-49.22
"Marret et al., 2020",C652,43.07,-55.83
"Marret et al., 2020",GeoB6223,-35.73,-49.68
"Marret et al., 2020",B2157,68.13,-54.21
"Marret et al., 2020",X1736,27.3049,-82.6284
"Marret et al., 2020",C651,39.29,-72.42
"Marret et al., 2020",GeoB6224,-35.4,-50.22
"Marret et al., 2020",C650,39.26,-72.3
"Marret et al., 2020",GeoB6225,-34.32,-48.42
"Marret et al., 2020",C648,39.22,-72.28
"Marret et al., 2020",GeoB6226,-37.15,-47.9
"Marret et al., 2020",C646,38.86,-72.71
"Marret et al., 2020",GeoB6228,-38.2,-46.38
"Marret et al., 2020",C645,38.4,-73.24
"Marret et al., 2020",GeoB6229,-37.2,-52.65
"Marret et al., 2020",GeoB6230,-37.9,-51.68
"Marret et al., 2020",N638,63.48,9.16
"Marret et al., 2020",GeoB6231,-36.98,-53.02
"Marret et al., 2020",N637,63.1,7.72
"Marret et al., 2020",GeoB6232,-36.9,-53.13
"Marret et al., 2020",N636,62.84,7.1
"Marret et al., 2020",Geob6307,-39.4,-53.83
"Marret et al., 2020",N635,62.6,6.6
"Marret et al., 2020",GeoB6308,-39.3,-53.97
"Marret et al., 2020",N634,62.46,6.15
"Marret et al., 2020",D2046,61.1,-66.69
"Marret et al., 2020",L2024,62.98,-51.5
"Marret et al., 2020",B2158,62.05,-50.82
"Marret et al., 2020",X1735,27.2918,-83.1503
"Marret et al., 2020",GeoB6309,-39.17,-54.15
"Marret et al., 2020",N633,62.02,5.41
"Marret et al., 2020",GeoB6310,-39.05,-54.32
"Marret et al., 2020",N632,61.84,5.15
"Marret et al., 2020",GeoB6311,-38.82,-54.63
"Marret et al., 2020",N631,61.73,5.17
"Marret et al., 2020",GeoB6312,-38.35,-55.25
"Marret et al., 2020",N630,61.41,5.06
"Marret et al., 2020",GeoB6217,-40.08,-54.6
"Marret et al., 2020",N629,61.16,5.21
"Marret et al., 2020",GeoB6330,-46.15,-57.55
"Marret et al., 2020",N628,61,5
"Marret et al., 2020",GeoB6334,-46.08,-58.52
"Marret et al., 2020",N626,60.52,5.09
"Marret et al., 2020",GeoB6336,-46.15,-57.85
"Marret et al., 2020",N623,59.8,5.26
"Marret et al., 2020",GeoB6337,-44.85,-57.77
"Marret et al., 2020",N622,59.63,5.46
"Marret et al., 2020",GeoB6339,-45.15,-58.38
"Marret et al., 2020",N620,59.17,5.4
"Marret et al., 2020",L2160,59.51,-45.41
"Marret et al., 2020",X1734,27.3322,-82.5886
"Marret et al., 2020",GeoB6340,-44.92,-58.1
"Marret et al., 2020",N616,58.28,6.66
"Marret et al., 2020",GeoB6341,-44.45,-57.17
"Marret et al., 2020",N615,58.09,7.8
"Marret et al., 2020",N614,58.05,7.07
"Marret et al., 2020",Z802,81.12,63.53
"Marret et al., 2020",N613,58.08,7.14
"Marret et al., 2020",Z803,80.74,57.9
"Marret et al., 2020",N612,58.07,7.81
"Marret et al., 2020",Z499,79.65,130.54
"Marret et al., 2020",N611,58.13,8
"Marret et al., 2020",Z511,79.22,122.91
"Marret et al., 2020",N610,58.35,8.61
"Marret et al., 2020",Z512,79.16,119.78
"Marret et al., 2020",N609,58.48,8.85
"Marret et al., 2020",Z521,78.76,112.7
"Marret et al., 2020",N608,58.73,9.09
"Marret et al., 2020",Z520,78.7,112.51
"Marret et al., 2020",N607,58.86,9.35
"Marret et al., 2020",Z513,78.67,118.74
"Marret et al., 2020",B2161,66.63,-54.21
"Marret et al., 2020",X1732,27.1168,-82.9
"Marret et al., 2020",Z522,78.58,111.38
"Marret et al., 2020",Z606,54.36,-148.47
"Marret et al., 2020",Z510,78.06,125
"Marret et al., 2020",Z605,49.22,-127.31
"Marret et al., 2020",Z514,77.98,118.57
"Marret et al., 2020",Z604,48.98,-126.88
"Marret et al., 2020",Z509,77.69,125.89
"Marret et al., 2020",Z603,48.91,-126.89
"Marret et al., 2020",Z515,77.67,118.57
"Marret et al., 2020",Z602,48.77,-125.5
"Marret et al., 2020",Z516,77.53,118.46
"Marret et al., 2020",Z601,73.65,74.84
"Marret et al., 2020",Z505,77.48,125.9
"Marret et al., 2020",Z599,73.22,75.62
"Marret et al., 2020",Z517,77.39,118.19
"Marret et al., 2020",Z598,74,72.66
"Marret et al., 2020",Z506,77.18,126.22
"Marret et al., 2020",Z597,73.61,72.95
"Marret et al., 2020",Z518,77.17,118.71
"Marret et al., 2020",Z596,73.21,72.89
"Marret et al., 2020",B2163,68.491666,-54.021666
"Marret et al., 2020",X1731,27.2002,-82.6668
"Marret et al., 2020",Z507,77.13,126.35
"Marret et al., 2020",Z595,72.96,73.14
"Marret et al., 2020",Z508,77.08,126.22
"Marret et al., 2020",Z593,73.99,77.2
"Marret et al., 2020",Z531,77.02,116.05
"Marret et al., 2020",Z591,73.89,81.67
"Marret et al., 2020",Z565,75.73,-160.86
"Marret et al., 2020",Z590,73.53,79.92
"Marret et al., 2020",Z530,75.54,114.5
"Marret et al., 2020",Z586,74,81
"Marret et al., 2020",Z494,75.5,115.54
"Marret et al., 2020",Z585,74,79.02
"Marret et al., 2020",Z483,75.49,115.25
"Marret et al., 2020",Z584,72.69,73.73
"Marret et al., 2020",Y580,76.28,-74.24
"Marret et al., 2020",Z473,75.48,123.84
"Marret et al., 2020",Y579,75.22,-74.94
"Marret et al., 2020",Z472,75.47,119.96
"Marret et al., 2020",Y578,77.01,-72.63
"Marret et al., 2020",Z474,75.42,125.84
"Marret et al., 2020",L2164,62.383333,-50.8316666
"Marret et al., 2020",X1730,27.2334,-82.6289
"Marret et al., 2020",Y577,78.35,-74.48
"Marret et al., 2020",Z434,75.32,-173.9
