location,family,subfamily,genus,species,subspecies,original entry,source,calibration,FO_LO,...11,...12,age,pal_lat
North Sea Compilation,Peridiniaceae,Deflandreoideae,Alterbidinium,circulum,NA,50% in P3A,"Powell, 1992",0.5 in plfor_B_P3a,FO,NA,NA,61.925595,41.36046625
North Sea Compilation,Peridiniaceae,Deflandreoideae,Spinidinium,densispinatum,NA,50% in P3A,"Powell, 1992",0.5 in plfor_B_P3a,FO,NA,NA,61.925595,41.36046625
Meer,Cladopyxiaceae,all,Gillinia,denticulata,NA,70% in Maastrichtian,"Slimani and Louwye, 2011",0.7 in stage_Maastrichtian,FO,NA,NA,67.879,40.540925
959,Gonyaulacaceae,Cribroperidinioideae,Kenleyia,pachycerata,NA,80% selandian,"Masure et al., 1998",0.8 in stage_Selandian,FO,NA,NA,59.724,-9.9724
1172,Peridiniaceae,Deflandreoideae,Vozzhennikovia,angulata,NA,10% in C26r,"Bijl et al., 2021",0.1 in mag_C26r,FO,NA,NA,61.9739,-59.875041
1172,Peridiniaceae,Deflandreoideae,Cerodinium,striatum,NA,10% in C26r,"Bijl et al., 2021",0.1 in mag_C26r,FO,NA,NA,61.9739,-59.875041
synthesis N Germany,Peridiniaceae,Deflandreoideae,Spinidinium,densispinatum,NA,55% NP4,"Köthe, 2012",0.55 in nan_n_NP4,FO,NA,NA,62.179321,41.98679894
North Sea Central Graben,Peridiniaceae,Wetzelielloideae,Dracodinium,solidum,NA,0% NP12,"Bujak and Mudge, 1994",0 in nan_n_NP12,LO,NA,NA,52.93,47.14885714
North Sea Compilation,Gonyaulacaceae,Leptodinioideae,Egmontodinium,torynum,NA,20% paratollia,"Costa and Davey, 1992",0.2 in amm_b_Paratollia/Platylenticeras,LO,NA,NA,136.182,36.19268
Viborg-1,misc,misc,Fromea,laevigata,NA,100% NP8,"Heilmann-Clausen, 1985",1 in nan_n_NP8,LO,NA,NA,57.2231,45.87769
more basin,Areoligeraceae,all,Glaphyrocysta,turgida,NA,100% in Maastrichtian,"Vieira and Mahdi, 2022",1 in stage_Maastrichtian,LO,NA,NA,66.04,52.503
Hor Harar,Areoligeraceae,all,Glaphyrocysta,castelcasiensis,NA,98% hantkeninoides,"Eshet et al., 1992",0.98 in plfor_B_Plummerita hantkeninoides,FO,NA,NA,66.047,12.5953
1168,Gonyaulacaceae,Gonyaulacoideae,Spiniferites,pseudofurcatus,NA,87X-5,"Brinkhuis et al., 2003a",1 in mag_C16n.2n,FO,NA,NA,35.774,-55.79717143
1172,Goniodomaceae,all,Eocladopyxis,peniculata,NA,100% C21r,"Bijl et al., 2013",1 in mag_C21r,FO,NA,NA,47.76,-57.412
"Angora Road, Tawanui",Peridiniaceae,Deflandreoideae,Deflandrea,foveolata,NA,50% NP4,"Crouch et al., 2014",0.5 in nan_n_NP4,FO,NA,NA,62.27986,-50.30277714
DSDP 1-6,Gonyaulacaceae,Cribroperidinioideae,Lingulodinium,machaerophorum,NA,50% in Selandian,"Williams and Bujak, 1977",0.5 in stage_Selandian,FO,NA,NA,60.45,28.845
DSDP 1-6,Gonyaulacaceae,Cribroperidinioideae,Operculodinium,centrocarpum,NA,50% in Selandian,"Williams and Bujak, 1977",0.5 in stage_Selandian,FO,NA,NA,60.45,28.845
Central Graben,Gonyaulacaceae,Cribroperidinioideae,Thalassiphora,lacunata,NA,100% in P3.3,"Vieira et al., 2020b",0.43 in stage_Selandian,LO,NA,NA,60.6194,45.45161667
1172,Gonyaulacaceae,Cribroperidinioideae,Lingulodinium,machaerophorum,NA,50% in C26r,"Bijl et al., 2021",0.5 in mag_C26r,FO,NA,NA,60.7575,-59.643925
748,Peridiniaceae,Palaeoperidinioideae,Palaeohystrichophora,infusorioides,NA,50% in CC23,"Mohr and Mao, 1997",0.5 in nan_n_CC23,LO,NA,NA,74.050355,-60.51532605
Viborg-1,misc,misc,Palaeotetradinium,minusculum,NA,25% NP10,"Heilmann-Clausen, 1985",0.25 in nan_n_NP10,LO,NA,NA,55.523765,46.0476235
Scotian Margin,Peridiniaceae,Palaeoperidinioideae,Palaeoperidinium,pyrophorum,NA,80% in Campanian,"Williams et al., 1993",0.8 in stage_Campanian,FO,NA,NA,74.466,36.34466
748,Peridiniaceae,Palaeoperidinioideae,Laciniadinium,firmum,NA,20% in CC23,"Mohr and Mao, 1997",0.2 in nan_n_CC23,LO,NA,NA,75.132368,-59.98513968
Rodmell,Order Gonyaulacales Family uncertain,uncertain,Exochosphaeridium,majus,NA,0% in mantelli,"Tocher and Jarvis, 1996",0 in amm_b_Mantelliceras mantelli,FO,NA,NA,100.25,42.495
North Sea Compilation,Gonyaulacaceae,Cribroperidinioideae,Cribroperidinium,wetzelii,NA,100% in P3B,"Powell, 1992",1 in plfor_B_P3b,LO,NA,NA,60.7575,41.263125
1121,Gonyaulacaceae,Cribroperidinioideae,Thalassiphora,delicata,NA,25% in NP5,"Crouch et al., 2014",0.25 in nan_n_NP5,FO,NA,NA,60.7955125,-59.69775625
403-406,Peridiniaceae,Wetzelielloideae,Dracodinium,simile,NA,403_28X,"Costa and Downie, 1979",1 in nan_n_NP11,LO,NA,NA,52.93,44.890125
mid-Waipara,Peridiniaceae,Deflandreoideae,Cerodinium,diebelii,NA,50% NP4,"Crouch et al., 2014",0.5 in nan_n_NP4,LO,NA,NA,62.27986,-52.0627286
Scotian Margin,Peridiniaceae,Deflandreoideae,Cerodinium,diebelii,NA,70% in danian,"Williams et al., 1993",0.7 in stage_Danian,LO,NA,NA,62.974,35.4974
Scotian Margin,Peridiniaceae,Deflandreoideae,Isabelidinium,cretaceum,NA,70% in Danian,"Williams et al., 1993",0.7 in stage_Danian,LO,NA,NA,62.974,35.4974
1121,Peridiniaceae,Deflandreoideae,Isabelidinium,cingulatum,NA,10% NP4,"Crouch et al., 2014",0.1 in nan_n_NP4,FO,NA,NA,63.084172,-60.842086
Nuussuaq basin,Peridiniaceae,Deflandreoideae,Palaeocystodinium,bulliforme,NA,10% in NP4,"Nøhr-Hansen et al., 2002",0.1 in nan_n_NP4,FO,NA,NA,63.084172,56.4389448
North Sea Compilation,Peridiniaceae,Deflandreoideae,Palaeocystodinium,australinum,NA,60% in P1C,"Powell, 1992",0.6 in plfor_B_P1c,FO,NA,NA,63.17855,41.46487917
Scotian Margin,Peridiniaceae,Deflandreoideae,Manumiella,seelandica,NA,50% between NC22/23 and NP8/9,"Fensome et al., 2008",0.5 between 0 nan_c_NC22 1 nan_n_NP8,LO,NA,NA,63.20105,35.520105
Meer,Cladopyxiaceae,all,Druggidium,meerensis,NA,66% in maastrichtian,"Slimani and Louwye, 2011",0.66 in stage_Maastrichtian,FO,NA,NA,68.1242,40.559315
Scotian Margin,Goniodomaceae,all,Hystrichosphaeridium,tubiferum,NA,50% NP15a,"Fensome et al., 2008",0.5 in nan_n_NP15a,LO,NA,NA,46.39545,34.516273
North Sea Compilation,Gonyaulacaceae,Cribroperidinioideae,Thalassiphora,delicata,NA,90% in P3B,"Powell, 1992",0.9 in plfor_B_P3b,FO,NA,NA,60.833525,41.26946042
Omsk No. 8,Ptychodiscaceae,Dinogymnioideae,Amphigymnium,mitratum,NA,90% CC24,"Lebedeva et al., 2013",0.9 in nan_n_CC24,LO,NA,NA,70.3534,51.007068
605,Ptychodiscaceae,Dinogymnioideae,Alisogymnium,euclaense,NA,50% C31r,"Habib and Drugg, 1987",0.5 in mag_C31r,FO,NA,NA,70.361,35.6
Landana,Gonyaulacaceae,Cribroperidinioideae,Ifecysta,lappacea,NA,87% P3b,"Steeman et al., 2020",0.87 in plfor_B_P3b,LO,NA,NA,60.8563325,-10.5
Massignano,Gonyaulacaceae,Gonyaulacoideae,Impagidinium,velorum,NA,50% C16n.1n,"Van Mourik and Brinkhuis, 2005",0.5 in mag_C16n.1n,FO,NA,NA,35.649,35.34399903
1172,Goniodomaceae,all,Homotryblium,tasmaniense,NA,0% C20r,"Bijl et al., 2013",0 in mag_C20r,LO,NA,NA,46.235,-57.48825
1172,Gonyaulacaceae,Gonyaulacoideae,Impagidinium,parvireticulatum,NA,50% C15r,"Bijl et al., 2013",0.5 in mag_C15r,LO,NA,NA,35.458,-56.48282
Landana,Gonyaulacaceae,Cribroperidinioideae,Ifecysta,fusiforma,NA,80% P3b,"Steeman et al., 2020",0.8 in plfor_B_P3b,FO,NA,NA,60.90955,-10.5
1168,Gonyaulacaceae,Gonyaulacoideae,Spiniferites,mirabilis,NA,50% C15r,"Brinkhuis et al., 2003a",0.5 in mag_C15r,FO,NA,NA,35.458,-55.69334286
913,Gonyaulacaceae,Gonyaulacoideae,Achomosphaera,alcicornu,NA,50% C15r,"Firth, 1996",0.5 in mag_C15r,LO,NA,NA,35.458,66.4355
Nordvik Peninsula,Gonyaulacaceae,Leptodinioideae,Sirmiodiniopsis,orbis,NA,0% klimovskiensis,"Nikitenko et al., 2008",0.45 in amm_s_Unzoned,LO,NA,NA,136.222,70.5445
Rio Argos,Gonyaulacaceae,Leptodinioideae,Tehamadinium,brixii,NA,50% campylotoxus,"Leereveld, 1997b",0.67 in amm_t_Neocomites neocomiensiformis,LO,NA,NA,136.2376,23.61469235
Rio Argos,Gonyaulacaceae,Leptodinioideae,Kleithriasphaeridium,corrugatum,NA,10% campylotoxus,"Leereveld, 1997b",0.2 in amm_t_Neocomites neocomiensiformis,FO,NA,NA,136.576,23.57246393
Central Danish Trough,Ceratiaceae,all,Muderongia,pariata,NA,100% tardefurcata,"Heilmann-Clausen, 1987",1 in amm_b_Leymeriella tardefurcata,LO,NA,NA,110.87,47.2999
Central Danish Trough,Ceratiaceae,all,Pseudoceratium,securigerum,NA,100% tardefurcata,"Heilmann-Clausen, 1987",1 in amm_b_Leymeriella tardefurcata,LO,NA,NA,110.87,47.2999
Viborg-1,Gonyaulacaceae,Cribroperidinioideae,Danea,californica,NA,5% between 0% NP5 and 100% NP8,"Heilmann-Clausen, 1985",0.05 between 0 nan_n_NP5 1 nan_n_NP8,LO,NA,NA,61.0719015,45.70719015
Landana,Gonyaulacaceae,Cribroperidinioideae,Cordosphaeridium,fibrospinosum,NA,55%P3b,"Steeman et al., 2020",0.55 in plfor_B_P3b,FO,NA,NA,61.0996125,-10.5
Landana,Gonyaulacaceae,Cribroperidinioideae,Kenleyia,leptocerata,NA,50% P3b,"Steeman et al., 2020",0.5 in plfor_B_P3b,LO,NA,NA,61.137625,-10.5
