location,Family,Subfamily,genus,species,subspecies,original entry,Source,Calibration,FO_LO,...11,...12,Age,pal_lat
Boyarka,Gonyaulacaceae,Gonyaulacoideae,Hystrichodinium,pulchrum,NA,90% kochi,"Shulgina et al., 1994",0.9 in amm_s_Hectoroceras kochi,FO,NA,NA,137.823,65.5714625
Boyarka,Order Gonyaulacales Family uncertain,uncertain,Mendicodinium,groenlandicum,NA,100% kochi,"Shulgina et al., 1994",1 in amm_s_Hectoroceras kochi,LO,NA,NA,137.59,65.63262499999999
Boyarka,Order Gonyaulacales Family uncertain,uncertain,Mendicodinium,groenlandicum,NA,90% kochi,"Shulgina et al., 1994",0.9 in amm_s_Hectoroceras kochi,FO,NA,NA,137.823,65.5714625
Boyarka,Ceratiaceae,all,Muderongia,simplex,NA,100% michalskii,"Shulgina et al., 1994",0.5 in amm_s_Unzoned,FO,NA,NA,136.07,66.031625
Boyarka,Gonyaulacaceae,Leptodinioideae,Oligosphaeridium,complex,NA,20% polyptychus,"Shulgina et al., 1994",0.6 in amm_s_Unzoned,FO,NA,NA,135.76600000000002,66.111425
Boyarka,Pareodiniaceae,all,Paragonyaulacysta,borealis,NA,100% mesezhnikova,"Shulgina et al., 1994",1 in amm_s_Unzoned,LO,NA,NA,134.55,66.43062499999999
Boyarka,Ceratiaceae,all,Phoberocysta,tabulata,NA,20% polyptychus,"Shulgina et al., 1994",0.6 in amm_s_Unzoned,FO,NA,NA,135.76600000000002,66.111425
Boyarka,Ceratiaceae,all,Phoberocysta,tabulata,NA,20% polyptychus,"Shulgina et al., 1994",0.6 in amm_s_Unzoned,LO,NA,NA,135.76600000000002,66.111425
Boyarka,Gonyaulacaceae,other,Sentusidinium,separatum,NA,10% analogus,"Shulgina et al., 1994",0.1 in amm_s_Unzoned,FO,NA,NA,137.286,65.712425
Boyarka,Gonyaulacaceae,Leptodinioideae,Sirmiodinium,grossii,NA,10% analogus,"Shulgina et al., 1994",0.1 in amm_s_Unzoned,FO,NA,NA,137.286,65.712425
Boyarka,Gonyaulacaceae,Leptodinioideae,Stanfordella,cretacea,NA,100% albidum,"Shulgina et al., 1994",0.5 in amm_s_Unzoned,FO,NA,NA,136.07,66.031625
Boyarka,Order Gonyaulacales Family uncertain,uncertain,Tanyosphaeridium,variecalamus,NA,100% albidum,"Shulgina et al., 1994",0.5 in amm_s_Unzoned,FO,NA,NA,136.07,66.031625
Boyarka,Order Gonyaulacales Family uncertain,uncertain,Tanyosphaeridium,variecalamus,NA,0% polyptychus,"Shulgina et al., 1994",0.5 in amm_s_Unzoned,LO,NA,NA,136.07,66.031625
Boyarka,Order Gonyaulacales Family uncertain,uncertain,Wallodinium,krutzschii,NA,100% michalskii,"Shulgina et al., 1994",0.5 in amm_s_Unzoned,FO,NA,NA,136.07,66.031625
Boyarka,Gonyaulacaceae,other,Wrevittia,helicoidea,NA,100% albidum,"Shulgina et al., 1994",0.5 in amm_s_Unzoned,FO,NA,NA,136.07,66.031625
Silesian Basin,Gonyaulacaceae,Cribroperidinioideae,Apteodinium,granulatum,NA,0% Tuarkyricus,"Skupien and Vašíček, 2002",0 in amm_t_Deshayesites oglanlensis,FO,NA,NA,121.15,37.832
Silesian Basin,Order Gonyaulacales Family uncertain,uncertain,Cassiculosphaeridia,magna,NA,100% caillaudianus,"Skupien and Vašíček, 2002",1 in amm_t_Moutoniceras moutonianum,LO,NA,NA,124.4,36.792
Silesian Basin,Order Gonyaulacales Family uncertain,uncertain,Cassiculosphaeridia,magna,NA,0% caillaudianus,"Skupien and Vašíček, 2002",0 in amm_t_Nicklesia pulchella,FO,NA,NA,125.28,36.510400000000004
Silesian Basin,Areoligeraceae,all,Cerbia,tabulata,NA,100% jacobi,"Skupien and Vašíček, 2002",1 in amm_t_Leymeriella germanica,LO,NA,NA,111.27,39.849000000000004
Silesian Basin,Areoligeraceae,all,Cerbia,tabulata,NA,0% caillaudianus,"Skupien and Vašíček, 2002",0 in amm_t_Nicklesia pulchella,FO,NA,NA,125.28,36.510400000000004
Silesian Basin,Gonyaulacaceae,other,Coronifera,tubulosa,NA,0% Tuarkyricus,"Skupien and Vašíček, 2002",0 in amm_t_Deshayesites oglanlensis,FO,NA,NA,121.15,37.832
Silesian Basin,Gonyaulacaceae,Cribroperidinioideae,Cribroperidinium,tenuiceras,NA,100% weissi,"Skupien and Vašíček, 2002",1 in amm_t_Deshayesites forbesi,LO,NA,NA,119.97,38.20566666666667
Silesian Basin,Gonyaulacaceae,Cribroperidinioideae,Cribroperidinium,tenuiceras,NA,0% Tuarkyricus,"Skupien and Vašíček, 2002",0 in amm_t_Deshayesites oglanlensis,FO,NA,NA,121.15,37.832
Silesian Basin,Order Gonyaulacales Family uncertain,uncertain,Dapsilidinium,chems,NA,0% vandenheckii,"Skupien and Vašíček, 2002",0 in amm_t_Toxancyloceras vandenheckii,FO,NA,NA,124.4,36.792
Silesian Basin,Order Gonyaulacales Family uncertain,uncertain,Dapsilidinium,chems,NA,100% vandenheckii,"Skupien and Vašíček, 2002",1 in amm_t_Toxancyloceras vandenheckii,LO,NA,NA,122.99,37.2432
Silesian Basin,Order Gonyaulacales Family uncertain,uncertain,Dingodinium,cerviculum,NA,0% hugii,"Skupien and Vašíček, 2002",0 in amm_t_Taveraidiscus hugii,FO,NA,NA,126.5,36.120000000000005
Silesian Basin,Gonyaulacaceae,Cribroperidinioideae,Florentinia,mantellii,NA,0% weissi,"Skupien and Vašíček, 2002",0 in amm_t_Deshayesites forbesi,FO,NA,NA,120.65,37.992
Silesian Basin,misc,misc,Fromea,quadrugata,NA,100% jacobi,"Skupien and Vašíček, 2002",1 in amm_t_Leymeriella germanica,LO,NA,NA,111.27,39.849000000000004
Silesian Basin,misc,misc,Fromea,quadrugata,NA,0% caillaudianus,"Skupien and Vašíček, 2002",0 in amm_t_Nicklesia pulchella,FO,NA,NA,125.28,36.510400000000004
Silesian Basin,Gonyaulacaceae,other,Hystrichosphaerina,schindewolfii,NA,100% jacobi,"Skupien and Vašíček, 2002",1 in amm_t_Leymeriella germanica,LO,NA,NA,111.27,39.849000000000004
Silesian Basin,Order Gonyaulacales Family uncertain,uncertain,Impletosphaeridium,clavulum,NA,0% giraudi,"Skupien and Vašíček, 2002",0 in amm_t_Imerites giraudi,FO,NA,NA,122.01,37.5568
Silesian Basin,Gonyaulacaceae,other,Kiokansium,unituberculatum,NA,100% weissi,"Skupien and Vašíček, 2002",1 in amm_t_Deshayesites forbesi,LO,NA,NA,119.97,38.20566666666667
Silesian Basin,Gonyaulacaceae,other,Kiokansium,unituberculatum,NA,0% hugii,"Skupien and Vašíček, 2002",0 in amm_t_Taveraidiscus hugii,FO,NA,NA,126.5,36.120000000000005
Silesian Basin,Ceratiaceae,all,Muderongia,staurota,NA,100% feraudianus,"Skupien and Vašíček, 2002",1 in amm_t_Gerhardtia sartousi,LO,NA,NA,122.01,37.5568
Silesian Basin,Ceratiaceae,all,Muderongia,crucis,NA,0% hugii,"Skupien and Vašíček, 2002",0 in amm_t_Taveraidiscus hugii,FO,NA,NA,126.5,36.120000000000005
Silesian Basin,Ceratiaceae,all,Muderongia,crucis,NA,100% hugii,"Skupien and Vašíček, 2002",1 in amm_t_Taveraidiscus hugii,LO,NA,NA,125.52,36.433600000000006
Silesian Basin,Ceratiaceae,all,Muderongia,macwhaei,NA,100% hugii,"Skupien and Vašíček, 2002",1 in amm_t_Taveraidiscus hugii,LO,NA,NA,125.52,36.433600000000006
Silesian Basin,Gonyaulacaceae,other,Nexosispinum,vetusculum,NA,100% caillaudianus,"Skupien and Vašíček, 2002",1 in amm_t_Moutoniceras moutonianum,LO,NA,NA,124.4,36.792
Silesian Basin,Gonyaulacaceae,other,Nexosispinum,vetusculum,NA,0% caillaudianus,"Skupien and Vašíček, 2002",0 in amm_t_Nicklesia pulchella,FO,NA,NA,125.28,36.510400000000004
Silesian Basin,Gonyaulacaceae,Leptodinioideae,Occisucysta,tentorium,NA,100% nolani,"Skupien and Vašíček, 2002",1 in amm_t_Acanthohoplites nolani,LO,NA,NA,114.37,39.263444444444445
Silesian Basin,Ceratiaceae,all,Odontochitina,operculata,NA,0% vandenheckii,"Skupien and Vašíček, 2002",0 in amm_t_Toxancyloceras vandenheckii,FO,NA,NA,124.4,36.792
Silesian Basin,Gonyaulacaceae,Leptodinioideae,Oligosphaeridium,djenn,NA,0% nolani,"Skupien and Vašíček, 2002",0 in amm_t_Acanthohoplites nolani,FO,NA,NA,116.74,38.81577777777778
Silesian Basin,Gonyaulacaceae,Leptodinioideae,Oligosphaeridium,verrucosum,NA,0% nolani,"Skupien and Vašíček, 2002",0 in amm_t_Acanthohoplites nolani,FO,NA,NA,116.74,38.81577777777778
Silesian Basin,Gonyaulacaceae,Leptodinioideae,Oligosphaeridium,djenn,NA,100% nolani,"Skupien and Vašíček, 2002",1 in amm_t_Acanthohoplites nolani,LO,NA,NA,114.37,39.263444444444445
Silesian Basin,Gonyaulacaceae,Leptodinioideae,Oligosphaeridium,poculum,NA,100% jacobi,"Skupien and Vašíček, 2002",1 in amm_t_Leymeriella germanica,LO,NA,NA,111.27,39.849000000000004
Silesian Basin,Gonyaulacaceae,Leptodinioideae,Oligosphaeridium,verrucosum,NA,100% jacobi,"Skupien and Vašíček, 2002",1 in amm_t_Leymeriella germanica,LO,NA,NA,111.27,39.849000000000004
Silesian Basin,Peridiniaceae,Palaeoperidinioideae,Palaeoperidinium,cretaceum,NA,0% vandenheckii,"Skupien and Vašíček, 2002",0 in amm_t_Toxancyloceras vandenheckii,FO,NA,NA,124.4,36.792
Silesian Basin,Ceratiaceae,all,Phoberocysta,neocomica,NA,100% tuarkyricus,"Skupien and Vašíček, 2002",1 in amm_t_Deshayesites oglanlensis,LO,NA,NA,120.65,37.992
Silesian Basin,Ceratiaceae,all,Phoberocysta,tabulata,NA,100% jacobi,"Skupien and Vašíček, 2002",1 in amm_t_Leymeriella germanica,LO,NA,NA,111.27,39.849000000000004
Silesian Basin,Ceratiaceae,all,Phoberocysta,neocomica,NA,0% angulicostata,"Skupien and Vašíček, 2002",0 in amm_t_Pseudothurmannia ohmi,FO,NA,NA,127.27,35.8736
Silesian Basin,misc,misc,Prolixosphaeridium,parvispinum,NA,0% vandenheckii,"Skupien and Vašíček, 2002",0 in amm_t_Toxancyloceras vandenheckii,FO,NA,NA,124.4,36.792
